Case,Cone Angle,Omega,Pitch Angle,vz,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_180_-5,5,180,-5,2.5,0.012123202,0.010668643,0.135370802,-0.003047158,-0.007834583,0.000943674
0_360_-5,0,360,-5,2.5,-0.001318139,0.17037848,2.17803418,-0.033629457,-0.104705382,0.009323172
10_360_-5,10,360,-5,2.5,0.284214392,0.133130716,1.6442287,-0.027091218,-0.087981733,0.012578008
5_240_-5,5,240,-5,2.5,0.016898746,0.014713911,0.185274642,-0.004728138,-0.011640551,0.001406672
0_180_-5,0,180,-5,2.5,0.000380681,0.010324809,0.137779698,-0.003096262,-0.007805524,0.00064689
5_360_-5,5,360,-5,2.5,0.1769615,0.168911324,2.09524442,-0.03217869,-0.104581864,0.012354423
0_240_-5,0,240,-5,2.5,0.00072615,0.014381504,0.191202704,-0.004754422,-0.011577778,0.000939048
10_240_-5,10,240,-5,2.5,0.033646162,0.014860265,0.189520778,-0.004703783,-0.01199561,0.001805282
#Case,Cone Angle,Omega,Pitch Angle,2.5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_480_0,5,480,0,2.5,0.560482146,-0.028017833,6.47947344,-0.107525893,-0.33437057,0.009364077
5_180_0,5,180,0,2.5,0.011446548,-0.001022526,0.12662162,-0.002955357,-0.007149539,0.000244755
0_480_0,0,480,0,2.5,-0.007019426,-0.025427763,5.1201958,-0.08454639,-0.249812226,0.000171353
10_360_0,10,360,0,2.5,0.351531686,-0.008649281,2.04004846,-0.034925673,-0.107932468,0.006172955
10_480_0,10,480,0,2.5,1.060109202,-0.017202831,6.14625254,-0.100082486,-0.324190546,0.017609871
10_180_0,10,180,0,2.5,0.021923705,-0.000772684,0.123665724,-0.002931318,-0.007230439,0.000489839
5_240_0,5,240,0,2.5,0.016692734,-0.001542168,0.181452414,-0.004624398,-0.010850845,0.000372569
0_180_0,0,180,0,2.5,0.000277064,-0.001264854,0.12979541,-0.002984164,-0.007158958,-1.66E-05
0_240_0,0,240,0,2.5,0.000523061,-0.001696435,0.1739698,-0.004478282,-0.010272219,-3.13E-05
10_240_0,10,240,0,2.5,0.031293423,-0.001163571,0.17592247,-0.004614404,-0.010911232,0.000757511
0_360_0,0,360,0,2.5,-0.002549728,-0.011895851,2.14036088,-0.03466404,-0.101623658,0.000116441
5_360_0,5,360,0,2.5,0.150646086,-0.009222029,1.74397636,-0.029759566,-0.086953042,0.002754606
#Case,Cone Angle,Omega,Pitch Angle,z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_240_-10,10,240,-10,1.25,0.320372114,0.314480496,1.87240364,-0.024001572,-0.099893719,0.022283787
