Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
12_630_-5,12,630,-5,2,-0.023171189,0.008705988,0.140807535,-0.001095704,-0.010005633,0.000233394
12_630_-3,12,630,-3,2,-0.025721311,0.007442997,0.15934412,-0.001226715,-0.011674467,0.000161181
12_630_-1,12,630,-1,2,-0.021531655,0.001372202,0.139906042,-0.001348872,-0.011047208,-0.000363763
12_630_-5,12,630,-5,3,-0.043574015,0.025530334,0.2644236,-0.00181316,-0.01822651,0.001462807
12_630_-3,12,630,-3,3,-0.048308955,0.021626528,0.293206951,-0.00205765,-0.02068648,0.001141994
12_630_-1,12,630,-1,3,-0.054628227,0.019419664,0.331453805,-0.002405685,-0.023544011,0.000629804
10_630_-5,10,630,-5,1,-0.006802344,-0.000968256,0.045929373,-0.000745766,-0.003432645,-0.000599192
10_630_-3,10,630,-3,1,-0.00719717,-0.001769692,0.047145634,-0.000771782,-0.003931132,-0.000663334
10_630_-1,10,630,-1,1,-0.008386189,-0.002685314,0.050604796,-0.000829846,-0.004566455,-0.000776601
10_630_-5,10,630,-5,2,-0.017645363,0.008644479,0.136047302,-0.000937323,-0.009583937,0.000270076
10_630_-3,10,630,-3,2,-0.019502963,0.007721924,0.153731162,-0.001068775,-0.011211282,0.000225754
10_630_-1,10,630,-1,2,-0.022571826,0.005501704,0.177035728,-0.001219822,-0.013230488,3.60E-05
10_630_-5,10,630,-5,3,-0.034508647,0.025286973,0.260468779,-0.001612216,-0.017865306,0.001511512
10_630_-3,10,630,-3,3,-0.038059702,0.021324296,0.287830214,-0.001854139,-0.020303785,0.001200366
10_630_-1,10,630,-1,3,-0.04224665,0.016744364,0.318477796,-0.002138275,-0.02281812,0.000772197
8_630_-5,8,630,-5,1,-0.005002728,-0.001055848,0.045751468,-0.000630033,-0.003306642,-0.00057186
8_630_-3,8,630,-3,1,-0.00526939,-0.001552753,0.04663509,-0.000644417,-0.003798016,-0.000593823
8_630_-1,8,630,-1,1,-0.006273399,-0.002322177,0.049422859,-0.00069287,-0.004423299,-0.000695155
8_630_-5,8,630,-5,2,-0.012573893,0.008774635,0.131483853,-0.000788718,-0.009194068,0.000302009
8_630_-3,8,630,-3,2,-0.01366286,0.007615028,0.14857322,-0.000883945,-0.010761739,0.000253821
8_630_-1,8,630,-1,2,-0.016120517,0.005899419,0.170979735,-0.001045415,-0.012750525,8.90E-05
8_630_-5,8,630,-5,3,-0.026044611,0.025194003,0.256699119,-0.001419708,-0.017574846,0.001530553
