Case,Cone Angle,Omega,Pitch Angle,vz,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_60_5,5,60,5,2.5,0.005614856,-0.005991339,0.065639476,-0.001174991,-0.0032689,-0.000195637
10_60_5,10,60,5,2.5,0.010935297,-0.005833832,0.063165011,-0.001189544,-0.003357427,-0.000103413
10_360_5,10,360,5,2.5,0.358913156,-0.181032798,2.07185222,-0.041261382,-0.10950466,-0.00283834
10_480_5,10,480,5,2.5,0.961416872,-0.481273736,5.52720184,-0.10863491,-0.296387528,-0.007780187
#Case,Cone Angle,Omega,Pitch Angle,2.5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
0_60_10,0,60,10,2.5,-5.46E-05,-0.011817918,0.066278456,-0.001182373,-0.003105853,-0.000561899
5_240_10,5,240,10,2.5,16.5921514,1.363268968,-0.410804358,-0.013957691,0.029979547,-0.154194896
0_120_10,0,120,10,2.5,-6.41E-06,-0.016621174,0.090687517,-0.001904459,-0.004448867,-0.000819422
0_480_10,0,480,10,2.5,-0.008815289,-1.50853164,8.66099132,-0.154417376,-0.40570457,-0.073557281
5_60_10,5,60,10,2.5,22934.5768,1867.949,-915.971076,-12.98792526,47.2315834,-218.352518
0_360_10,0,360,10,2.5,-0.002408969,-0.382694106,2.18514518,-0.039981556,-0.102215472,-0.018473773
5_360_10,5,360,10,2.5,0.19984169,-0.386205868,2.2191746,-0.04429176,-0.1092035,-0.016113211
0_240_10,0,240,10,2.5,0.00035521,-0.030901189,0.163427966,-0.004293038,-0.008960335,-0.00173294
5_480_10,5,480,10,2.5,0.56869461,-1.1531319,6.6327033,-0.130243212,-0.33195171,-0.04852645
5_120_10,5,120,10,2.5,2528.6136,205.482458,-100.0232076,-1.403907368,5.63528952,-22.9441848
10_60_10,10,60,10,2.5,0.010710211,-0.011222248,0.061819246,-0.001273551,-0.003268583,-0.000380749
