#Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
3_570_-5,3,570,-5,3.5,-0.012982902,0.039275042,0.332078891,-0.001682925,-0.02164746,0.002338923
3_570_-4,3,570,-4,3.5,-0.013314177,0.037029934,0.344388846,-0.001795151,-0.022671141,0.002192246
3_570_-3,3,570,-3,3.5,-0.013350152,0.034241097,0.354502215,-0.001922182,-0.023584383,0.001979693
3_570_-2,3,570,-2,3.5,-0.013209077,0.031743161,0.365786794,-0.0020979,-0.024580363,0.001787302
3_570_-1,3,570,-1,3.5,-0.013041426,0.029020234,0.378469625,-0.002214292,-0.025566321,0.001594495
3_570_0,3,570,0,3.5,-0.013816345,0.025610834,0.388668873,-0.002374036,-0.026633827,0.001316082
4_570_-5,4,570,-5,3.5,-0.017617123,0.039505362,0.334999002,-0.001802256,-0.021831461,0.002319845
4_570_-4,4,570,-4,3.5,-0.017847398,0.036845014,0.345084891,-0.001898726,-0.022692806,0.00213022
4_570_-3,4,570,-3,3.5,-0.01796052,0.034594956,0.356642675,-0.002045655,-0.023714728,0.001963263
4_570_-2,4,570,-2,3.5,-0.018222563,0.031810992,0.368382112,-0.002181471,-0.024693621,0.00176734
4_570_-1,4,570,-1,3.5,-0.018664792,0.028685586,0.382326713,-0.002341441,-0.025810265,0.001572263
4_570_0,4,570,0,3.5,-0.01930341,0.025357911,0.391890276,-0.002434479,-0.0267208,0.001293397
5_570_-5,5,570,-5,3.5,-0.022406519,0.039610188,0.336589836,-0.00191066,-0.021954024,0.002284324
5_570_-4,5,570,-4,3.5,-0.022634307,0.037143698,0.34640052,-0.002014245,-0.022793612,0.002116462
5_570_-3,5,570,-3,3.5,-0.023220011,0.034834706,0.35876858,-0.002192929,-0.023877741,0.001942585
5_570_-2,5,570,-2,3.5,-0.023795536,0.031668137,0.371768492,-0.002281974,-0.024853779,0.001746324
5_570_-1,5,570,-1,3.5,-0.024575264,0.028726839,0.383909802,-0.002439685,-0.025956807,0.001530256
5_570_0,5,570,0,3.5,-0.0256624,0.025319938,0.391442567,-0.002559561,-0.026787515,0.001176414
0_540_-5,0,540,-5,3.5,-0.000977912,0.0396238,0.317523678,-0.00142011,-0.020752424,0.002473297
0_540_-4,0,540,-4,3.5,-0.00122792,0.037310156,0.331276234,-0.001604433,-0.021864745,0.002317477
0_540_-3,0,540,-3,3.5,-0.001046923,0.034181367,0.34181848,-0.001604732,-0.022659597,0.002091308
0_540_-2,0,540,-2,3.5,-0.001399916,0.03103962,0.352951735,-0.001729372,-0.023774958,0.001865913
0_540_-1,0,540,-1,3.5,-0.001447459,0.029317107,0.369013572,-0.002039456,-0.025238266,0.00171919
0_540_0,0,540,0,3.5,-0.001812366,0.026213649,0.374538469,-0.002058509,-0.025738543,0.001487852
1_540_-5,1,540,-5,3.5,-0.005065938,0.039412701,0.320598887,-0.001543065,-0.020883289,0.002400676
1_540_-4,1,540,-4,3.5,-0.005343306,0.037236313,0.333389741,-0.001713027,-0.021940264,0.002268288
1_540_-3,1,540,-3,3.5,-0.005309801,0.033649997,0.341918516,-0.00169021,-0.022588049,0.002017597
1_540_-2,1,540,-2,3.5,-0.005166006,0.03065325,0.353455125,-0.00179616,-0.023583449,0.00181808
1_540_-1,1,540,-1,3.5,-0.00495088,0.028853641,0.366384684,-0.001949392,-0.024878565,0.001651347
1_540_0,1,540,0,3.5,-0.005825215,0.026286666,0.37622413,-0.002129073,-0.025872832,0.001436038
2_540_-5,2,540,-5,3.5,-0.009254058,0.039113015,0.323467922,-0.001629643,-0.020986153,0.002350345
2_540_-4,2,540,-4,3.5,-0.009496461,0.036833035,0.335388065,-0.001762791,-0.021967009,0.002189512
2_540_-3,2,540,-3,3.5,-0.009251963,0.033815064,0.344818785,-0.001810142,-0.022679346,0.001971607
2_540_-2,2,540,-2,3.5,-0.00871612,0.031263873,0.355590056,-0.002002184,-0.023647584,0.001810873
2_540_-1,2,540,-1,3.5,-0.008220316,0.028600807,0.362866659,-0.00203711,-0.024345472,0.001632366
2_540_0,2,540,0,3.5,-0.009785273,0.026032878,0.376633404,-0.002259208,-0.025766102,0.001401281
3_540_-5,3,540,-5,3.5,-0.013561677,0.039100866,0.32490017,-0.001739182,-0.021036747,0.002319649
3_540_-4,3,540,-4,3.5,-0.013857305,0.036812849,0.336840983,-0.001852698,-0.022014492,0.002172481
3_540_-3,3,540,-3,3.5,-0.013790536,0.03400805,0.346197603,-0.001953579,-0.022836348,0.001968519
3_540_-2,3,540,-2,3.5,-0.013633794,0.031493417,0.356546289,-0.002107731,-0.023747122,0.001783377
3_540_-1,3,540,-1,3.5,-0.013398053,0.028923382,0.366350892,-0.002227552,-0.024599736,0.001575112
3_540_0,3,540,0,3.5,-0.014315086,0.025517715,0.376368171,-0.002394803,-0.025616625,0.001320362
4_540_-5,4,540,-5,3.5,-0.018097717,0.039315193,0.327696597,-0.001852333,-0.021211302,0.002295454
4_540_-4,4,540,-4,3.5,-0.018235617,0.036528804,0.336711406,-0.001937716,-0.021977917,0.002106874
4_540_-3,4,540,-3,3.5,-0.018275079,0.034263939,0.347667047,-0.002072399,-0.022929466,0.001945485
4_540_-2,4,540,-2,3.5,-0.018418144,0.031703658,0.358777925,-0.002199282,-0.023867131,0.001759005
4_540_-1,4,540,-1,3.5,-0.018787544,0.028939575,0.369478602,-0.002348317,-0.024827106,0.001552482
4_540_0,4,540,0,3.5,-0.019540451,0.025228073,0.377947836,-0.002451586,-0.025617178,0.001278199
5_540_-5,5,540,-5,3.5,-0.022759226,0.039396151,0.328868875,-0.001956161,-0.021308263,0.002257732
5_540_-4,5,540,-4,3.5,-0.022902111,0.036862426,0.338076133,-0.002052826,-0.022073571,0.002094324
