Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
0_240_-5,0,240,-5,0.003634231182898,0.00394423704062,-0.0532451726827,0.000526496929516,-0.00328849221898,-0.00036121031796
0_360_-5,0,360,-5,0.00221485268544,7.456087628000001e-05,-0.0598388549713,0.0004766962976356,-0.00664391178972,6.0567793381999995e-05
0_480_-5,0,480,-5,0.002861125689982,0.00034263762482,-0.0635480285836,0.000579324661934,-0.0052915254513,0.0001398999211014
10_240_-5,10,240,-5,-0.01443045404,-0.018199120099999997,0.1495562828,-0.001228628864,0.0120899267,0.0014790695540000001
10_360_-5,10,360,-5,-0.024691706180000002,-0.025156591680000003,0.23315413240000002,-0.001474504936,0.02077664156,0.0025516153159999997
10_480_-5,10,480,-5,-0.03164302098,-0.03297663112,0.287222817,-0.001243743994,0.028493970860000002,0.003874631828
5_240_-5,5,240,-5,-0.013476571699999999,-0.005548998976,0.1433913248,-0.0011469052,0.0116645425,0.0004450303712
5_360_-5,5,360,-5,0.132132741,0.09866639569999999,-1.226097784,0.012019524,-0.05360926006,-0.00339603225
5_480_-5,5,480,-5,0.01723428152,0.027173094903999998,-0.2798732292,0.0020130391,-0.019187217116,-0.0024580682087999997
