Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
0_360_0,0,360,0,0.003233643,0.01181556,0.4382963,-0.003103876,0.03491498,-0.001086213
5_360_0,5,360,0,0.0423901,0.02154814,0.4560784,-0.003673216,0.03600262,-0.00160102
#Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
20_240_5,20,240,5,0.1331768,-0.02720736,0.3421616,-0.003321132,0.02345349,0.002449813
5_360_5,5,360,5,0.04459592,-0.01899294,0.478595,-0.003920356,0.03769301,0.001791333
10_120_5,10,120,5,0.04364511,-0.02045851,0.2230438,-0.002576537,0.01412605,0.001677645
20_120_5,20,120,5,0.08695576,-0.02311359,0.2189807,-0.002454452,0.01291853,0.001922124
5_240_5,5,240,5,0.0338256,-0.02344429,0.333103,-0.003251985,0.02369807,0.001940277
5_120_5,5,120,5,0.0225364,-0.01968346,0.2211001,-0.002639909,0.01445674,0.001494039
10_240_5,10,240,5,0.06648098,-0.02462239,0.3418822,-0.003301111,0.02380143,0.002157794
0_240_5,0,240,5,0.003638028,-0.02633166,0.326015,-0.003179851,0.0237412,0.001900873
0_120_5,0,120,5,0.002388256,-0.02131646,0.2207763,-0.002645468,0.01493529,0.001413477
0_480_5,0,480,5,-0.0004315365,-0.03190976,0.6866687,-0.00419883,0.05844181,0.002830339
20_480_5,20,480,5,0.2565953,-0.01747529,0.7051596,-0.005672112,0.05940888,0.003157907
0_60_5,0,60,5,0.001235742,-0.01937921,0.1983759,-0.002554294,0.0135845,0.001297388
5_480_5,5,480,5,0.06331397,-0.01583952,0.7269361,-0.004962261,0.06037689,0.001816304
0_360_5,0,360,5,0.00244658,-0.02652741,0.4624451,-0.003659443,0.03693095,0.002091129
20_360_5,20,360,5,0.1810098,-0.02225201,0.4832877,-0.004312852,0.03808908,0.002629213
5_60_5,5,60,5,0.0188798,-0.01779747,0.1957285,-0.002505034,0.01296944,0.001375006
10_60_5,10,60,5,0.03697018,-0.01813985,0.1950829,-0.002398383,0.01252387,0.001559095
20_60_5,20,60,5,0.07291701,-0.01907477,0.187705,-0.002154702,0.01154078,0.001867427
10_360_5,10,360,5,0.08908884,-0.02020077,0.4873238,-0.004080343,0.03815722,0.002160833
10_480_5,10,480,5,0.1219456,-0.01479887,0.698224,-0.005116288,0.05778212,0.002179724
#Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
20_360_10,20,360,10,0.18681840420000004,-0.06974223647999997,0.5051199901999998,-0.0035863629080000003,0.04057425641999997,0.006356507684000009
10_120_10,10,120,10,0.043192496639999994,-0.0413842097,0.22172591320000026,-0.0025197427739999992,0.014195412320000005,0.003005941742
0_60_10,0,60,10,0.001164752955999999,-0.036437628080000034,0.19294494180000013,-0.00266962568,0.013246240040000011,0.002454334828000001
20_480_10,20,480,10,0.2674506834,-0.08864929073999996,0.7410961127999997,-0.004688600892000003,0.06360778302,0.009040031104000004
10_360_10,10,360,10,0.09284398862,-0.06752788275999998,0.5106477892000004,-0.004039158152,0.04015018260000003,0.005989675122000002
5_240_10,5,240,10,0.035158419820000016,-0.0563918872,0.34345336919999986,-0.0034473005740000002,0.024649366360000015,0.004328131123999998
20_120_10,20,120,10,0.08679514462,-0.044134810900000036,0.2206709690000001,-0.0022002403620000003,0.013305729260000003,0.0031230942640000036
20_240_10,20,240,10,0.1353968380000002,-0.06014614262000001,0.35351510319999985,-0.0028262746160000016,0.025036382260000007,0.004753063275999997
10_480_10,10,480,10,0.13230836920000014,-0.08527072286000004,0.7607523684000003,-0.005316694137999999,0.06376717904000004,0.008186545360000002
0_120_10,0,120,10,0.002355876073999999,-0.040983685200000036,0.21866501280000006,-0.0028300242559999985,0.014945510020000004,0.002759957979999998
0_480_10,0,480,10,-0.0010296010595820001,-0.10494098846000001,0.7369002418000002,-0.005699559524000005,0.06172169886000005,0.009288431705999996
5_60_10,5,60,10,0.018682272259999983,-0.03558622747999999,0.1926931069999999,-0.0025411637779999994,0.012799697059999993,0.002544895172
0_360_10,0,360,10,0.0028267233420000027,-0.07297909232000001,0.4856567460000003,-0.004326931435999995,0.038774471019999986,0.0059995146239999984
5_360_10,5,360,10,0.046483988980000016,-0.06566037814000002,0.5001361690000001,-0.004203652583999997,0.03954795935999999,0.005575984407999998
0_240_10,0,240,10,0.004079879730000001,-0.057055521680000026,0.3336601650000001,-0.0035599597000000004,0.024560916420000006,0.004218860756000002
5_480_10,5,480,10,0.06461482448000003,-0.08355815283999998,0.750279298199999,-0.0054978972979999995,0.06289699168,0.0075623962079999964
10_240_10,10,240,10,0.06823024716000003,-0.058241873740000005,0.35336107920000037,-0.003293599695999997,0.02488481022,0.004557433670000003
5_120_10,5,120,10,0.022361866879999977,-0.040228576839999995,0.21944629440000002,-0.00270277647,0.014494505080000006,0.002845238547999998
10_60_10,10,60,10,0.03649910314000003,-0.03613754844,0.19226262820000006,-0.0023318770099999995,0.01236206598000001,0.0026928110419999983
20_60_10,20,60,10,0.07063619728000003,-0.03650616777999997,0.18341180040000002,-0.0019003082359999993,0.011587460560000002,0.0029136198039999973
