Case,Cone Angle,Omega,Pitch Angle,v_z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_240_5,5,240,5,2.5,0.016811395,-0.007443521,0.188874879,-0.001649805,0.01592165,0.000841343
10_240_5,10,240,5,2.5,0.033867449,-0.007391576,0.190993339,-0.001806142,0.016059111,0.001012709
0_240_10,0,240,10,2.5,0.000314903,-0.027147185,0.191023445,-0.001694001,0.016350923,0.002473085
5_60_-10,5,60,-10,5,0.01884433,0.0348394,0.1916583,-0.002314909,0.01245048,-0.002053599
10_60_-10,10,60,-10,5,0.03690603,0.03531394,0.1917844,-0.002504331,0.01201968,-0.00173949
10_60_10,10,60,10,5,0.036499103,-0.036137548,0.192262628,-0.002331877,0.012362066,0.002692811
5_60_10,5,60,10,5,0.018682272,-0.035586227,0.192693107,-0.002541164,0.012799697,0.002544895
20_60_0,20,60,0,5,0.07659992,-0.002127548,0.1927171,-0.002431679,0.01121679,0.000839751
0_60_10,0,60,10,5,0.001164753,-0.036437628,0.192944942,-0.002669626,0.01324624,0.002454335
0_60_-10,0,60,-10,5,0.001312578,0.03266953,0.1935096,-0.002054799,0.01307308,-0.002212182
20_60_-10,20,60,-10,5,0.07888221,0.03856079,0.1937514,-0.002737298,0.01068892,-0.001003086
20_240_10,20,240,10,2.5,0.071245897,-0.024096557,0.194318995,-0.00227789,0.01686043,0.002963644
5_60_-5,5,60,-5,5,0.01903745,0.01763168,0.1950806,-0.002382241,0.01274682,-0.000948379
10_60_5,10,60,5,5,0.03697018,-0.01813985,0.1950829,-0.002398383,0.01252387,0.001559095
10_60_0,10,60,0,5,0.03707282,-0.000333271,0.1953967,-0.002426751,0.01243333,0.000434673
10_60_-5,10,60,-5,5,0.03752324,0.017806,0.1955939,-0.002482264,0.0122861,-0.000670138
5_60_5,5,60,5,5,0.0188798,-0.01779747,0.1957285,-0.002505034,0.01296944,0.001375006
20_60_-5,20,60,-5,5,0.08036803,0.01883849,0.1964856,-0.002561975,0.01059349,-7.78E-05
5_60_0,5,60,0,5,0.01904227,-0.000235542,0.1967181,-0.002446964,0.01295033,0.000200782
0_60_-5,0,60,-5,5,0.001294334,0.01557801,0.197653,-0.00221966,0.01343476,-0.001075186
0_60_5,0,60,5,5,0.001235742,-0.01937921,0.1983759,-0.002554294,0.0135845,0.001297388
0_60_0,0,60,0,5,0.001140841,-0.001691536,0.1984483,-0.002407049,0.01361504,6.33E-05
5_240_10,5,240,10,2.5,0.01772472,-0.025155797,0.198939384,-0.001893461,0.016845185,0.002406283
