Case,Cone Angle,Omega,Pitch Angle,v_z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_240_-10,10,240,-10,5,0.05951348,0.05918335,0.2995512,-0.003174482,0.0196352,-0.003424254
10_120_-10,10,120,-10,5,0.04489162,0.04117059,0.2191097,-0.002671245,0.01298007,-0.00193013
5_60_-10,5,60,-10,5,0.01884433,0.0348394,0.1916583,-0.002314909,0.01245048,-0.002053599
20_360_-10,20,360,-10,5,0.1496912,0.09000035,0.3882333,-0.005209354,0.02886862,-0.005237847
0_120_-10,0,120,-10,5,0.002702427,0.03620762,0.2121345,-0.002068772,0.01396544,-0.002375177
0_480_-10,0,480,-10,5,-0.00616992,0.09349467,0.4884975,-0.001825595,0.03912048,-0.007959994
10_60_-10,10,60,-10,5,0.03690603,0.03531394,0.1917844,-0.002504331,0.01201968,-0.00173949
5_120_-10,5,120,-10,5,0.02273948,0.03953781,0.2139388,-0.002397407,0.01347752,-0.002247072
0_360_-10,0,360,-10,5,0.00113957,0.07310779,0.375545,-0.002149026,0.02930965,-0.005721073
5_360_-10,5,360,-10,5,0.0384168,0.08115183,0.3861553,-0.00280066,0.02932577,-0.006379592
20_60_-10,20,60,-10,5,0.07888221,0.03856079,0.1937514,-0.002737298,0.01068892,-0.001003086
20_120_-10,20,120,-10,5,0.09092144,0.04396139,0.220146,-0.00300093,0.01183136,-0.001306312
0_60_-10,0,60,-10,5,0.001312578,0.03266953,0.1935096,-0.002054799,0.01307308,-0.002212182
10_480_-10,10,480,-10,5,0.09439319,0.1350216,0.5619884,-0.004987295,0.04636709,-0.01095202
10_360_-10,10,360,-10,5,0.07164565,0.0871753,0.3882974,-0.00367624,0.029781,-0.006310723
5_480_-10,5,480,-10,5,0.04236315,0.1283495,0.5455093,-0.003560528,0.04527557,-0.01121013
20_480_-10,20,480,-10,5,0.1950658,0.1362526,0.5382988,-0.006997694,0.04373897,-0.009390908
0_240_-10,0,240,-10,5,0.003527203,0.05268151,0.2890758,-0.002198137,0.02020909,-0.003666271
