Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_360_0,5,360,0,0.114403049,0.01087163,1.106617143,-0.010975848,0.074768508,-7.42E-05
10_240_0,10,240,0,0.031893997,0.008269031,0.178764363,-0.001552316,0.015049971,-0.00041013
#,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_120_5,5,120,5,0.008802069,-0.006412183,0.088155528,-0.000959104,0.006325208,0.000528818
20_240_5,20,240,5,0.068033598,-0.007030595,0.185552432,-0.002042553,0.015944616,0.00133844
0_60_5,0,60,5,0.000546753,-0.00514495,0.056962999,-0.000705467,0.003852468,0.000335921
0_240_5,0,240,5,0.000385381,-0.009458635,0.182780063,-0.001446593,0.015608498,0.000891229
0_480_5,0,480,5,0.046127075,-0.57448492,4.621874112,-0.049860725,0.317678185,0.037400588
5_360_5,5,360,5,0.121988937,-0.094173096,1.17163623,-0.012904273,0.079560753,0.007323276
20_360_5,20,360,5,0.354383374,-0.069752364,0.907507246,-0.010697637,0.060997818,0.007322631
0_360_5,0,360,5,0.020345997,-0.153943297,1.468484242,-0.015549189,0.099519302,0.010211594
10_240_5,10,240,5,0.033867449,-0.007391576,0.190993339,-0.001806142,0.016059111,0.001012709
5_60_5,5,60,5,0.005770942,-0.005094493,0.057725083,-0.000725088,0.00376953,0.000384666
20_60_5,20,60,5,0.022237615,-0.005406651,0.056573754,-0.000740015,0.0033933,0.00052573
5_240_5,5,240,5,0.016811395,-0.007443521,0.188874879,-0.001649805,0.01592165,0.000841343
10_480_5,10,480,5,0.836752066,-0.410716504,4.182840022,-0.050495968,0.270364373,0.032611688
0_120_5,0,120,5,0.000906357,-0.006502492,0.085696826,-0.000896369,0.006297425,0.000466781
10_60_5,10,60,5,0.011151063,-0.005160786,0.05804059,-0.000733149,0.003683627,0.000439116
20_120_5,20,120,5,0.0343564,-0.006655827,0.088691018,-0.001071787,0.006118043,0.000722457
10_120_5,10,120,5,0.017219409,-0.006558821,0.089827272,-0.00100678,0.006318175,0.000598606
10_360_5,10,360,5,0.222493972,-0.091492097,1.133865817,-0.012723746,0.075525202,0.007826592
20_480_5,20,480,5,1.671689298,-0.453628775,4.159620446,-0.052077654,0.24660758,0.038493695
5_480_5,5,480,5,0.453762343,-0.406248375,4.37317084,-0.052956354,0.295584245,0.030096961
#,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_240_10,5,240,10,0.01772472,-0.025155797,0.198939384,-0.001893461,0.016845185,0.002406283
10_360_10,10,360,10,0.239781912,-0.212637554,1.21061076,-0.014842206,0.080769187,0.016269052
5_60_10,5,60,10,-6.041098048,12.01342804,-58.51465222,-0.33755779,-9.377653645,-1.886779102
0_480_10,0,480,10,0.044390188,-0.867076349,4.133622202,-0.050622503,0.289690132,0.058537638
10_240_10,10,240,10,0.035670639,-0.025108391,0.200875406,-0.002062958,0.017002792,0.002590623
20_60_10,20,60,10,0.022327526,-0.010352712,0.056612118,-0.000780559,0.003445998,0.000849998
20_120_10,20,120,10,0.035079312,-0.014362888,0.091039999,-0.001156092,0.006462853,0.001335766
20_240_10,20,240,10,0.071245897,-0.024096557,0.194318995,-0.00227789,0.01686043,0.002963644
10_120_10,10,120,10,0.017700378,-0.014811268,0.091804865,-0.001097559,0.006513611,0.001209966
0_360_10,0,360,10,0.017803337,-0.256043268,1.319496187,-0.015205397,0.091961003,0.017685318
10_60_10,10,60,10,0.011142041,-0.010328526,0.057493405,-0.000773703,0.003680733,0.000777449
0_240_10,0,240,10,0.000314903,-0.027147185,0.191023445,-0.001694001,0.016350923,0.002473085
10_480_10,10,480,10,0.824450922,-0.800321064,4.11984197,-0.054202853,0.270197066,0.059298437
20_480_10,20,480,10,1.580387336,-0.786641395,3.955733006,-0.053468487,0.240573745,0.061622314
5_480_10,5,480,10,0.424846207,-0.795057252,4.025575954,-0.051790683,0.269994801,0.055900285
20_360_10,20,360,10,0.419338303,-0.184908181,1.067898527,-0.013583585,0.070635816,0.015850339
0_60_10,0,60,10,0.00053608,-0.010174014,0.056426398,-0.000747825,0.003851956,0.00068048
5_120_10,5,120,10,-4.098993172,8.167240758,-39.80799464,-0.230083403,-6.383941366,-1.283896891
0_120_10,0,120,10,0.000961978,-0.014335136,0.087056284,-0.000980479,0.006457182,0.001058027
5_360_10,5,360,10,0.138791919,-0.232955899,1.295490024,-0.015643724,0.087501143,0.01681802
