# Case,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_420_-10,3.5,0.034690909,0.643470492,3.492947326,-0.049107188,0.235746394,-0.042587753
10_300_-10,3.5,0.080343017,0.063185104,0.411379149,-0.008818309,0.030732011,-0.00343715
5_300_0,3.5,0.037898201,-0.006413873,0.360989234,-0.007471922,0.026563196,0.000892548
10_360_-10,3.5,0.452579918,0.44308833,2.247177982,-0.036245824,0.138883072,-0.019683826
10_420_-5,3.5,0.804995461,0.410734895,4.109366902,-0.06231894,0.254549325,-0.013678476
5_180_-5,3.5,0.01226544,0.008171703,0.123233097,-0.002573898,0.009249162,-0.000484288
0_420_0,3.5,0.035486929,-0.007957241,3.578264219,-0.052807864,0.235579861,0.000270235
5_420_5,3.5,0.364107164,-0.306361439,3.523655159,-0.054384582,0.222584832,0.022186822
0_360_-5,3.5,0.028657029,0.207713607,2.237610021,-0.032845329,0.147596432,-0.013253739
10_360_-5,3.5,0.405468254,0.186762706,2.00552524,-0.031090319,0.123105739,-0.005384227
5_300_-10,3.5,0.041386371,0.072354595,0.4151158,-0.00828409,0.03072411,-0.004569399
5_240_0,3.5,0.0166295,-0.002299764,0.168813636,-0.003883675,0.013319111,0.000338455
0_360_5,3.5,0.027555557,-0.194106762,2.139883175,-0.033723685,0.137446953,0.011548751
5_420_-10,3.5,0.335144436,0.650382686,3.300433368,-0.050799637,0.214104951,-0.036639632
0_300_5,3.5,0.004777543,-0.034933929,0.356320186,-0.00747633,0.026354671,0.002466426
0_180_0,3.5,0.001185174,-0.002275199,0.116987679,-0.002433467,0.008929265,8.88E-05
5_240_-5,3.5,0.01794768,0.012204481,0.183179256,-0.004157047,0.014484796,-0.000802785
10_300_0,3.5,0.074050188,-0.004638728,0.382219577,-0.007530594,0.027487097,0.001529905
5_180_5,3.5,0.010512417,-0.009809892,0.105704691,-0.002288084,0.007870187,0.000856348
0_180_-5,3.5,0.00129699,0.008299383,0.122247129,-0.002477827,0.009371157,-0.000698737
10_420_-10,3.5,0.716860028,0.729546435,3.656776139,-0.058613787,0.229608923,-0.033671197
0_240_-10,3.5,0.001901953,0.028459622,0.191783786,-0.004111245,0.015520284,-0.002503049
5_360_-5,3.5,0.245103621,0.226356262,2.333001058,-0.03525429,0.147687765,-0.010922508
0_240_-5,3.5,0.001690006,0.011931715,0.182592323,-0.004013457,0.014725661,-0.001147135
0_240_0,3.5,0.001288493,-0.004196813,0.169752333,-0.003825482,0.013608896,0.000198303
10_240_0,3.5,0.031911634,-0.003231652,0.169907872,-0.003847963,0.01334435,0.000742614
10_180_5,3.5,0.019666898,-0.009988519,0.104383381,-0.002152814,0.00755725,0.0010204
5_300_-5,3.5,0.040163606,0.032072676,0.39745447,-0.007883163,0.028965203,-0.001597638
5_240_-10,3.5,0.018613026,0.029408339,0.193089443,-0.004392059,0.015436388,-0.002210492
0_300_-10,3.5,0.005316859,0.069262999,0.425855633,-0.007983702,0.0322209,-0.005228182
10_360_5,3.5,0.438752502,-0.200688118,2.164300181,-0.031711221,0.126826177,0.016383007
0_360_0,3.5,0.024105058,-0.008165141,2.044425127,-0.030707625,0.13302627,0.000496226
5_360_0,3.5,0.238692095,0.006021901,2.258229061,-0.034106265,0.140971216,0.002131635
5_180_-10,3.5,0.012547135,0.020377639,0.128467073,-0.0026936,0.009752422,-0.00139645
10_240_-5,3.5,0.034383749,0.011230627,0.183643848,-0.004198003,0.014483206,-0.000382254
