Case,Cone_Angle,Omega_RPM,Pitch_Angle,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Vz_ms,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f)
5_281.25_-3,5,281.25,-3,2000,-0.004309967,0.006157751,0.070114757,-0.000373371,-0.004746286,0.000349197,1.5,1.863268,1.522819,-0.188319,2.937648,-3.125967,3.031807,0.1702243,-0.2298425,-0.2637386,-0.3617118,0.0979732
5_281.25_-3,5,281.25,-3,1869,-0.002763656,0.003593399,0.048549372,-0.000223336,-0.003448591,0.000207103,1.25,1.797985,1.58449,-0.1758329,3.091678,-3.267511,3.179594,0.1067473,-0.1936329,-0.1973608,-0.2923133,0.09495249
5_285_-3,5,285,-3,2000,-0.001663953,0.002147128,0.033768605,-0.000155993,-0.002433458,0.000101071,1,1.843319,1.841376,-0.1706405,3.433142,-3.603783,3.518463,0.000971447,-0.2051548,-0.141205,-0.2757573,0.1345523
5_285.0_-3,5,285,-3,2000,-0.004170531,0.005703734,0.068885718,-0.000354667,-0.004698867,0.000348932,1.5,1.831651,1.495668,-0.1827539,2.910923,-3.093676,3.002299,0.1679917,-0.2177378,-0.2398856,-0.3376806,0.09779504
5_288.75_-3,5,288.75,-3,2000,-0.004099003,0.005491562,0.067953656,-0.000344731,-0.004681464,0.000344718,1.5,1.8046,1.478003,-0.1797549,2.901773,-3.081528,2.99165,0.1632981,-0.2112873,-0.2294501,-0.3260123,0.09656224
5_292.5_-3,5,292.5,-3,2000,-0.004057553,0.005442909,0.067759517,-0.000340806,-0.004695994,0.000340112,1.5,1.795362,1.478091,-0.1780518,2.91215,-3.090202,3.001176,0.1586355,-0.2086228,-0.2262184,-0.321732,0.09551354
5_297.5_-3,5,297.5,-3,2000,-0.005977336,0.008564436,0.091363244,-0.000530396,-0.006113849,0.000475224,1.75,1.801282,1.436644,-0.1933115,2.769017,-2.962329,2.865673,0.1823191,-0.2416032,-0.2786558,-0.3809311,0.1022753
5_300_-3,5,300,-3,2000,-0.021524808,0.01954827,0.210307663,-0.001766782,-0.011978819,0.0009889,3,1.409201,1.11769,-0.2476167,1.779616,-2.027232,1.903424,0.1457555,-0.2782795,-0.2294937,-0.3930263,0.1635326
5_300.0_-3,5,300,-3,2000,-0.013081571,0.014277778,0.153823147,-0.00120008,-0.009551461,0.000812998,2.5,1.499608,1.165752,-0.2131314,2.082181,-2.295313,2.188747,0.166928,-0.2709934,-0.2346648,-0.3883259,0.153661
5_300.0_-3,5,300,-3,2000,-0.004007584,0.005397066,0.067851815,-0.000334974,-0.004736598,0.000332504,1.5,1.789795,1.488375,-0.176322,2.939322,-3.115644,3.027483,0.1507097,-0.2045804,-0.2221085,-0.3156346,0.09352618
5_300.0_-3,5,300,-3,1923,-0.002727371,0.003516925,0.049526331,-0.000223923,-0.003536757,0.000194068,1.25,1.809947,1.640951,-0.1754031,3.174309,-3.349712,3.262011,0.08449783,-0.1930027,-0.1854067,-0.285706,0.1002993
5_300_-3,5,300,-3,2000,-0.001657574,0.002103703,0.034593823,-0.000161599,-0.002498579,9.04E-05,1,1.858392,1.916773,-0.172591,3.527886,-3.700477,3.614182,-0.02919013,-0.2113479,-0.1265911,-0.2746435,0.1480524
5_300_-3,5,300,-3,2000,-0.007861055,0.010968512,0.112228483,-0.000714652,-0.007365116,0.000610112,2,1.710218,1.332245,-0.1957775,2.54248,-2.738257,2.640369,0.1889863,-0.2506517,-0.2790209,-0.3901622,0.1111413
5_303.75_-3,5,303.75,-3,2000,-0.010064077,0.013083019,0.133852994,-0.000931178,-0.008602623,0.000734844,2.25,1.61713,1.248091,-0.199588,2.335185,-2.534773,2.434979,0.1845198,-0.2589555,-0.2651589,-0.391535,0.1263761
5_306.25_-3,5,306.25,-3,2000,-0.005963484,0.008573297,0.092753792,-0.000527859,-0.006227319,0.00047676,1.75,1.824437,1.462962,-0.1928653,2.822703,-3.015568,2.919135,0.1807375,-0.2401532,-0.2774447,-0.3788755,0.1014308
5_307.5_-3,5,307.5,-3,2000,-0.003980394,0.005360023,0.068179827,-0.00033126,-0.004782578,0.000325792,1.5,1.790576,1.503592,-0.1756392,2.969345,-3.144985,3.057165,0.1434922,-0.2018947,-0.2184557,-0.3111225,0.09266682
5_315.0_-3,5,315,-3,1979,-0.003963139,0.005324962,0.068596073,-0.000328641,-0.004830597,0.000319384,1.5,1.79365,1.520745,-0.1754108,3.00043,-3.175841,3.088135,0.1364526,-0.1999038,-0.2148774,-0.3073425,0.09246504
5_315.0_-3,5,315,-3,2000,-0.005930422,0.008548117,0.094056545,-0.000523422,-0.006334183,0.00047773,1.75,1.845681,1.48809,-0.1918643,2.873588,-3.065453,2.96952,0.1787956,-0.2378047,-0.2748528,-0.3752311,0.1003782
5_318.75_-3,5,318.75,-3,1997,-0.002674011,0.003476103,0.050540721,-0.000228623,-0.003623094,0.000183667,1.25,1.824914,1.697164,-0.1737599,3.256171,-3.429931,3.343051,0.06387528,-0.1959729,-0.175374,-0.2836599,0.1082859
5_319.375_-3,5,319.375,-3,2000,-0.005904139,0.008528583,0.094628289,-0.000519953,-0.006383988,0.000477939,1.75,1.854769,1.49938,-0.191081,2.897471,-3.088552,2.993011,0.1776944,-0.2360428,-0.2732655,-0.3726755,0.09941001
5_320.0_-3,5,320,-3,2000,-0.001697975,0.002024146,0.035777535,-0.0001685,-0.002591341,7.32E-05,1,1.877766,2.026674,-0.1807071,3.659367,-3.840074,3.749721,-0.07445382,-0.2186856,-0.104469,-0.2709201,0.1664511
5_323.75_-3,5,323.75,-3,2000,-0.005874168,0.008495486,0.095188025,-0.000516578,-0.006431843,0.000478108,1.75,1.863632,1.510479,-0.1901767,2.920502,-3.110679,3.01559,0.1765767,-0.2343281,-0.2711798,-0.369918,0.09873815
5_328.125_-3,5,328.125,-3,2000,-0.00581903,0.008420443,0.095606743,-0.000512009,-0.006471556,0.000478548,1.75,1.870178,1.518964,-0.1884087,2.94017,-3.128579,3.034374,0.1756071,-0.2320557,-0.267511,-0.3658112,0.09830022
5_330.0_-3,5,330,-3,2000,-0.01579843,0.017324296,0.186335834,-0.001455738,-0.011572524,0.000987041,2.75,1.502104,1.165239,-0.2132854,2.084192,-2.297477,2.190834,0.1684323,-0.2717728,-0.2359362,-0.3897409,0.1538048
5_332.5_-3,5,332.5,-3,2000,-0.005626923,0.007797224,0.093850188,-0.000485718,-0.006404895,0.000478194,1.75,1.837202,1.490213,-0.1827322,2.912472,-3.095205,3.003839,0.1734945,-0.2195813,-0.2436127,-0.3413877,0.09777498
5_336.875_-3,5,336.875,-3,2000,-0.005530134,0.007516039,0.092621924,-0.00047264,-0.00638188,0.000472356,1.75,1.810967,1.473159,-0.1797442,2.903601,-3.083346,2.993474,0.168904,-0.2133547,-0.2334523,-0.3300809,0.09662858
5_337.5_-3,5,337.5,-3,2000,-0.012387363,0.01619594,0.165416433,-0.001153655,-0.01063377,0.00091039,2.5,1.619802,1.246995,-0.1997536,2.337066,-2.53682,2.436943,0.1864031,-0.2600079,-0.2666028,-0.3933093,0.1267065
5_337.5_-3,5,337.5,-3,2000,-0.009903321,0.013936184,0.142221354,-0.000908487,-0.009335431,0.000775641,2.25,1.713964,1.330723,-0.1958338,2.544972,-2.740805,2.642889,0.1916203,-0.2519657,-0.2811157,-0.3925235,0.1114078
5_337.5_-3,5,337.5,-3,2000,-0.002562546,0.003437965,0.0515753,-0.000237716,-0.003705879,0.000173258,1.25,1.839546,1.755387,-0.1682326,3.337257,-3.50549,3.421374,0.04207923,-0.2027817,-0.1646896,-0.2851265,0.1204369
5_337.5_-3,5,337.5,-3,1900,-0.003918262,0.005213153,0.069977435,-0.000324768,-0.004970166,0.000300532,1.5,1.805964,1.575468,-0.1750767,3.090696,-3.265772,3.178234,0.115248,-0.1964285,-0.2036086,-0.2982328,0.09462418
5_340_-3,5,340,-3,2000,-0.007762605,0.01123674,0.119491405,-0.000697503,-0.007997553,0.000623859,2,1.806008,1.433993,-0.193437,2.771317,-2.964754,2.868035,0.1860076,-0.2435877,-0.281526,-0.3843507,0.1028247
5_340.0_-3,5,340,-3,2000,-0.001766819,0.00191051,0.037032937,-0.000176209,-0.002690715,5.15E-05,1,1.894376,2.146739,-0.191633,3.798361,-3.989994,3.894177,-0.1261815,-0.2271705,-0.07880594,-0.2665734,0.1877675
5_341.25_-3,5,341.25,-3,2000,-0.005471369,0.007448887,0.09234948,-0.000467393,-0.006400786,0.000466129,1.75,1.801709,1.472967,-0.1779474,2.913594,-3.091541,3.002568,0.1643709,-0.2107475,-0.2302462,-0.3258706,0.09562436
5_350_-3,5,350,-3,2000,-0.007744741,0.0112465,0.121337534,-0.000693916,-0.008145417,0.000626258,2,1.8298,1.460431,-0.1929968,2.824825,-3.017822,2.921324,0.1846843,-0.2420584,-0.2803457,-0.3822313,0.1018856
5_350.0_-3,5,350,-3,2000,-0.00540037,0.007388712,0.092461135,-0.000459381,-0.006454987,0.00045579,1.75,1.796081,1.48279,-0.1760789,2.940288,-3.116367,3.028328,0.1566456,-0.2066946,-0.2263344,-0.3198617,0.09352738
5_356.25_-3,5,356.25,-3,2000,-0.002489999,0.00338506,0.052749833,-0.000246137,-0.003798592,0.000159327,1.25,1.854932,1.822467,-0.1655364,3.425997,-3.591533,3.508765,0.01623268,-0.2088984,-0.1524175,-0.2851072,0.1326897
5_358.75_-3,5,358.75,-3,2000,-0.005360328,0.007339346,0.092892995,-0.000454155,-0.00651654,0.000446548,1.75,1.79672,1.4976,-0.1752661,2.969848,-3.145114,3.057481,0.14956,-0.2039531,-0.2228342,-0.3153702,0.09253599
5_360_-3,5,360,-3,2000,-0.018761256,0.020668993,0.221930986,-0.001736122,-0.013785344,0.001178462,3,1.504077,1.164514,-0.2133021,2.08557,-2.298872,2.192221,0.1697816,-0.2724367,-0.2370441,-0.3909587,0.1539147
5_360_-3,5,360,-3,2000,-0.007694901,0.011215064,0.122996455,-0.000687276,-0.00828367,0.000627568,2,1.850595,1.484805,-0.1918432,2.875253,-3.067096,2.971174,0.1828949,-0.2394243,-0.2778852,-0.3783669,0.1004817
5_360.0_-3,5,360,-3,2000,-0.001861467,0.001806763,0.038495233,-0.000185791,-0.002803338,2.93E-05,1,1.921408,2.278826,-0.2050299,3.955092,-4.160122,4.057607,-0.1787086,-0.2382842,-0.05430317,-0.2654357,0.2111326
5_360.0_-3,5,360,-3,1976,-0.003858808,0.005110373,0.071356483,-0.000325104,-0.005095333,0.000281934,1.5,1.818074,1.630341,-0.1741509,3.172287,-3.346438,3.259362,0.09386681,-0.1955638,-0.1925302,-0.2918288,0.09929868
5_365.0_-3,5,365,-3,2000,-0.007660363,0.011188813,0.123745657,-0.000682991,-0.008348752,0.000627864,2,1.859775,1.496044,-0.1910488,2.899125,-3.090174,2.99465,0.1818659,-0.2377604,-0.2763332,-0.375927,0.09959384
5_367.5_-3,5,367.5,-3,2000,-0.005331745,0.007292309,0.093438218,-0.000450487,-0.006580237,0.000437787,1.75,1.799557,1.514205,-0.1748395,3.000213,-3.175053,3.087633,0.142676,-0.201936,-0.2193935,-0.3116327,0.0922392
5_370_-3,5,370,-3,2000,-0.007620011,0.011141878,0.124489784,-0.000678802,-0.00841116,0.000628216,2,1.868917,1.507193,-0.1901053,2.922115,-3.11222,3.017168,0.180862,-0.2361338,-0.2742033,-0.3732355,0.09903218
5_371.25_-3,5,371.25,-3,2000,-0.014947112,0.019646063,0.200299265,-0.00140003,-0.012878752,0.001105503,2.75,1.622001,1.245779,-0.1998323,2.338372,-2.538204,2.438288,0.1881114,-0.2608933,-0.2678736,-0.3948301,0.1269564
5_375.0_-3,5,375,-3,2000,-0.00247922,0.003308593,0.054017369,-0.000253435,-0.003898594,0.000142366,1.25,1.869884,1.896262,-0.1673218,3.518863,-3.686185,3.602524,-0.01318901,-0.2138971,-0.1380244,-0.2829094,0.1448849
5_375.0_-3,5,375,-3,2000,-0.012172602,0.01726645,0.175743457,-0.001125722,-0.011537788,0.00096167,2.5,1.716961,1.329135,-0.1957438,2.546705,-2.742448,2.644577,0.193913,-0.2530677,-0.2829397,-0.3945375,0.1115979
5_375.0_-3,5,375,-3,2000,-0.007548412,0.011045785,0.125030393,-0.00067224,-0.008462356,0.000629061,2,1.875541,1.515414,-0.1883361,2.941514,-3.12985,3.035682,0.1800633,-0.2336601,-0.2706515,-0.3689859,0.09833439
5_380.0_-3,5,380,-3,2000,-0.002000586,0.00169929,0.040191902,-0.000195755,-0.00292903,4.95E-06,1,1.958224,2.426265,-0.2230211,4.127832,-4.350853,4.239343,-0.2340205,-0.250097,-0.02980232,-0.2649982,0.2351958
5_380_-3,5,380,-3,2000,-0.007298801,0.010249259,0.122746385,-0.000638088,-0.008377941,0.000628449,2,1.842763,1.486743,-0.182643,2.914733,-3.097376,3.006055,0.1780102,-0.2212676,-0.2473314,-0.3449333,0.09760185
5_382.5_-3,5,382.5,-3,2000,-0.003752749,0.005055156,0.072778773,-0.000332513,-0.005215517,0.000267658,1.5,1.833215,1.684451,-0.1709741,3.252179,-3.423153,3.337666,0.07438188,-0.1990195,-0.1831492,-0.2905941,0.1074449
5_382.5_-3,5,382.5,-3,2000,-0.009773178,0.014278779,0.151379778,-0.00088757,-0.010132554,0.000793307,2.25,1.809788,1.431553,-0.1933791,2.772747,-2.966126,2.869436,0.1891175,-0.2451852,-0.2839478,-0.3871592,0.1032113
5_385.0_-3,5,385,-3,2000,-0.007169709,0.009866374,0.121094457,-0.000620615,-0.008344078,0.000620912,2,1.816019,1.468908,-0.1795979,2.904516,-3.084114,2.994315,0.1735555,-0.2149135,-0.2367616,-0.3332943,0.09653272
5_390_-3,5,390,-3,2000,-0.007089962,0.009777119,0.120720949,-0.00061374,-0.008367536,0.000612748,2,1.806595,1.468394,-0.1777076,2.914093,-3.0918,3.002946,0.1691009,-0.2123091,-0.2335642,-0.3290912,0.09552696
5_393.75_-3,5,393.75,-3,2000,-0.009749605,0.014284924,0.153746171,-0.000882349,-0.010318877,0.000796713,2.25,1.834072,1.458094,-0.1929289,2.825988,-3.018917,2.922452,0.187989,-0.2434776,-0.2826912,-0.3848232,0.102132
5_393.75_-3,5,393.75,-3,1948,-0.005254269,0.007140957,0.095271122,-0.000444948,-0.006765769,0.000411897,1.75,1.811432,1.567611,-0.1738627,3.088611,-3.262474,3.175543,0.1219106,-0.1984035,-0.2085125,-0.3026598,0.0941473
5_400.0_-3,5,400,-3,2000,-0.002539251,0.003168143,0.05583297,-0.000262051,-0.004041366,0.000114117,1.25,1.888369,2.004392,-0.1750322,3.648047,-3.823079,3.735563,-0.05801148,-0.2194596,-0.116031,-0.2774751,0.1614441
5_400.0_-3,5,400,-3,2000,-0.00218333,0.001625829,0.042229587,-0.000206731,-0.003072268,-1.85E-05,1,2.014643,2.590934,-0.2457296,4.323218,-4.568947,4.446083,-0.2881454,-0.2633533,-0.009009184,-0.2678579,0.2588487
5_400_-3,5,400,-3,2000,-0.006992954,0.009700489,0.12085012,-0.000603128,-0.00843703,0.000599213,2,1.800875,1.477833,-0.175698,2.940355,-3.116053,3.028204,0.1615214,-0.2082248,-0.2298036,-0.3231266,0.09332296
5_405.0_-3,5,405,-3,2000,-0.003564434,0.004992855,0.074221123,-0.000344946,-0.005329634,0.000251966,1.5,1.846918,1.741213,-0.1640109,3.330624,-3.494635,3.412629,0.05285264,-0.2055023,-0.172605,-0.2918048,0.1191998
5_405.0_-3,5,405,-3,2000,-0.009680421,0.014247797,0.155786729,-0.000873457,-0.010492324,0.000798195,2.25,1.854282,1.481753,-0.1916629,2.875991,-3.067654,2.971823,0.1862643,-0.2407199,-0.2803681,-0.380904,0.1005358
5_405_-3,5,405,-3,2000,-0.017741565,0.023434147,0.238493516,-0.001670282,-0.015337091,0.001320445,3,1.623839,1.244451,-0.1998404,2.33923,-2.53907,2.43915,0.1896936,-0.2616449,-0.2690024,-0.3961461,0.1271437
5_410_-3,5,410,-3,2000,-0.006936473,0.009637662,0.121395845,-0.000596066,-0.008516195,0.000587052,2,1.801367,1.492268,-0.1747539,2.969506,-3.14426,3.056883,0.1545494,-0.2054176,-0.2264412,-0.3186382,0.09219705
5_410.625_-3,5,410.625,-3,2000,-0.009636259,0.014213075,0.156749332,-0.000868332,-0.010574963,0.00079867,2.25,1.863688,1.493054,-0.1908524,2.899926,-3.090779,2.995352,0.1853168,-0.2391492,-0.2788282,-0.3785633,0.09973511
5_412.5_-3,5,412.5,-3,2000,-0.014667068,0.020961409,0.212786939,-0.001366299,-0.01397165,0.001168379,2.75,1.719392,1.327495,-0.1955552,2.547858,-2.743414,2.645636,0.1959486,-0.253993,-0.2845608,-0.3962735,0.1117126
5_416.25_-3,5,416.25,-3,2000,-0.009583141,0.014146684,0.157695817,-0.000863095,-0.010653104,0.000799256,2.25,1.872964,1.504149,-0.1898627,2.92268,-3.112542,3.017611,0.1844076,-0.2375489,-0.2765929,-0.3758453,0.09925242
5_420_-3,5,420,-3,2000,-0.00689347,0.00957692,0.12209103,-0.000591058,-0.008597848,0.000575553,2,1.804086,1.508506,-0.1741561,2.999372,-3.173528,3.08645,0.1477902,-0.2033416,-0.2231143,-0.3148988,0.09178447
5_420.0_-3,5,420,-3,2000,-0.005162773,0.007010505,0.097119558,-0.000445029,-0.00693391,0.000386981,1.75,1.823741,1.621188,-0.1724669,3.16929,-3.341757,3.255523,0.1012764,-0.1974276,-0.1981451,-0.2965001,0.09835508
5_421.875_-3,5,421.875,-3,2000,-0.009492931,0.014029063,0.158367918,-0.000854,-0.010717165,0.000800551,2.25,1.879574,1.512111,-0.1880935,2.94185,-3.129943,3.035897,0.1837316,-0.2348606,-0.2731818,-0.3714514,0.09826967
5_425.0_-3,5,425,-3,2000,-0.002654878,0.00297342,0.057814257,-0.000272707,-0.004198735,7.84E-05,1.25,1.905828,2.124714,-0.1861633,3.78842,-3.974583,3.881501,-0.109443,-0.2269304,-0.09052862,-0.2721947,0.1816661
5_425.0_-3,5,425,-3,2000,-0.012006515,0.017691368,0.187032548,-0.001100485,-0.012518065,0.000983776,2.5,1.812963,1.429347,-0.1931885,2.773505,-2.966693,2.870099,0.1918078,-0.2464738,-0.2860232,-0.3894854,0.1034622
5_427.5_-3,5,427.5,-3,2000,-0.003456248,0.004897348,0.075887065,-0.000355282,-0.005460897,0.000230829,1.5,1.861717,1.807532,-0.1610405,3.417782,-3.578823,3.498302,0.02709236,-0.2105966,-0.1599776,-0.2905854,0.1306078
5_427.5_-3,5,427.5,-3,2000,-0.009178847,0.013039843,0.155490467,-0.000810857,-0.010613204,0.000799548,2.25,1.846972,1.483548,-0.1823974,2.915846,-3.098244,3.007045,0.181712,-0.2225048,-0.2503544,-0.347682,0.09732757
5_433.125_-3,5,433.125,-3,2000,-0.009010722,0.012537403,0.153315405,-0.000788073,-0.010565274,0.000790152,2.25,1.819452,1.46469,-0.1792554,2.904233,-3.083488,2.993861,0.1773812,-0.2159719,-0.2394213,-0.3356826,0.09626122
5_437.5_-3,5,437.5,-3,2000,-0.011974126,0.017687555,0.189955683,-0.001092898,-0.01274633,0.000988224,2.5,1.837377,1.455749,-0.1927061,2.826322,-3.019028,2.922675,0.1908143,-0.2445166,-0.2846124,-0.3868228,0.1022104
5_438.75_-3,5,438.75,-3,2000,-0.008906775,0.012425509,0.152840736,-0.000779355,-0.010594091,0.000779808,2.25,1.810077,1.464073,-0.1772924,2.913585,-3.090877,3.002231,0.1730018,-0.2133715,-0.2362824,-0.3315127,0.09523028
5_440.0_-3,5,440,-3,2000,-0.002548487,0.001400023,0.045919813,-0.000233418,-0.00332431,-7.48E-05,1,2.089875,2.915659,-0.2915812,4.66405,-4.955632,4.809841,-0.4128916,-0.2963422,0.04283431,-0.2749251,0.3177594
5_446.25_-3,5,446.25,-3,2000,-0.004967914,0.006935916,0.098985412,-0.000456046,-0.007089776,0.000368078,1.75,1.838367,1.673297,-0.1674332,3.246465,-3.413899,3.330182,0.08253503,-0.201376,-0.1891161,-0.2959341,0.1068179
5_450.0_-3,5,450,-3,2000,-0.002823574,0.002807055,0.060246342,-0.000285959,-0.004384967,4.24E-05,1.25,1.93882,2.260719,-0.2006874,3.953479,-4.154166,4.053822,-0.1609491,-0.2367919,-0.06723343,-0.2704086,0.2031752
5_450_-3,5,450,-3,2000,-0.006770926,0.009380994,0.124417853,-0.00058328,-0.008834618,0.000541215,2,1.815282,1.560704,-0.1725471,3.086011,-3.258558,3.172285,0.127289,-0.1996713,-0.2125748,-0.3059586,0.09338388
5_450.0_-3,5,450,-3,2000,-0.01188276,0.017645752,0.192424676,-0.001081813,-0.012959152,0.000989786,2.5,1.85717,1.478923,-0.191343,2.876035,-3.067378,2.971706,0.1891235,-0.2417476,-0.282428,-0.3829616,0.1005336
5_450.0_-3,5,450,-3,2000,-0.003441901,0.004779042,0.077685058,-0.000363647,-0.005602638,0.000205921,1.5,1.876512,1.880003,-0.1628157,3.508924,-3.67174,3.590332,-0.001745269,-0.214349,-0.1458488,-0.2872734,0.1414247
5_450.0_-3,5,450,-3,2000,-0.008780398,0.012331127,0.152998649,-0.000765732,-0.010681082,0.000762706,2.25,1.804425,1.473301,-0.1751864,2.939592,-3.114779,3.027186,0.1655621,-0.2092501,-0.2326589,-0.3255795,0.0929206
5_450_-3,5,450,-3,2000,-0.017384763,0.025023874,0.253336132,-0.001630029,-0.016635912,0.001395934,3,1.721337,1.325771,-0.1952971,2.548473,-2.74377,2.646121,0.1977829,-0.2547514,-0.2860361,-0.3977694,0.1117333
5_456.25_-3,5,456.25,-3,2000,-0.011827413,0.017598895,0.193637624,-0.001075758,-0.013061523,0.000990485,2.5,1.866851,1.490357,-0.1905123,2.900041,-3.090553,2.995297,0.1882472,-0.2402465,-0.2808543,-0.3806736,0.09981932
5_461.25_-3,5,461.25,-3,2000,-0.008703725,0.012253327,0.153668318,-0.000756502,-0.010779704,0.000747246,2.25,1.804782,1.487402,-0.1741169,2.968334,-3.142451,3.055393,0.1586903,-0.206376,-0.2294095,-0.3210808,0.09167128
5_462.5_-3,5,462.5,-3,2000,-0.011759001,0.017512285,0.194790499,-0.001069076,-0.013156674,0.000991223,2.5,1.876037,1.501256,-0.1894736,2.922499,-3.111973,3.017236,0.1873903,-0.2386035,-0.2785773,-0.3778921,0.0993148
5_467.5_-3,5,467.5,-3,2000,-0.014464325,0.021469325,0.226461654,-0.001335597,-0.015152655,0.001195739,2.75,1.815833,1.427363,-0.1929665,2.773583,-2.966549,2.870066,0.1942351,-0.2474138,-0.2877367,-0.3912822,0.1035455
5_468.75_-3,5,468.75,-3,2000,-0.01164838,0.017366233,0.195603927,-0.001056733,-0.013234286,0.00099302,2.5,1.88259,1.508979,-0.1877094,2.941314,-3.129023,3.035169,0.1868058,-0.2356677,-0.2751921,-0.3732638,0.09807168
5_472.5_-3,5,472.5,-3,2000,-0.008643054,0.012177241,0.15453082,-0.000749931,-0.010881368,0.000732703,2.25,1.807431,1.503322,-0.1733689,2.997775,-3.171144,3.084459,0.1520543,-0.2042494,-0.2261765,-0.3173377,0.09116116
5_472.5_-3,5,472.5,-3,2000,-0.004699073,0.006830024,0.100914549,-0.000471276,-0.00724149,0.000345663,1.75,1.851518,1.729335,-0.1599512,3.323291,-3.483242,3.403266,0.06109161,-0.2071576,-0.1782379,-0.2962765,0.1180386
5_475.0_-3,5,475,-3,2000,-0.011261804,0.016165401,0.192046432,-0.001003553,-0.013108485,0.000991571,2.5,1.84998,1.480338,-0.1820033,2.915868,-3.097871,3.00687,0.1848208,-0.2233429,-0.2528011,-0.3497434,0.09694229
5_475.0_-3,5,475,-3,2000,-0.003060734,0.002678704,0.063146258,-0.00030041,-0.004595772,6.60E-06,1.25,1.987873,2.413004,-0.2198972,4.138596,-4.358493,4.248544,-0.2125657,-0.2477613,-0.04660499,-0.2710638,0.2244588
5_480_-3,5,480,-3,2000,-0.00663672,0.009214108,0.126808785,-0.000583202,-0.009051369,0.000509445,2,1.827959,1.613219,-0.1706802,3.165813,-3.336493,3.251153,0.1073697,-0.1986777,-0.2025923,-0.2999739,0.0973816
5_480.0_-3,5,480,-3,2000,-0.003539347,0.004553646,0.080278108,-0.000374002,-0.005807923,0.000162832,1.5,1.894246,1.987638,-0.1707925,3.637418,-3.808211,3.722814,-0.04669574,-0.2187886,-0.1237161,-0.2806467,0.1569306
5_480.0_-3,5,480,-3,2000,-0.002473261,0.000604338,0.044371127,-0.000263192,-0.003257915,-0.000178293,1,1.808614,3.028734,-0.2903149,4.572086,-4.862401,4.717243,-0.61006,-0.3336499,0.1601443,-0.2535778,0.4137221
5_481.25_-3,5,481.25,-3,2000,-0.011045963,0.015526395,0.189237256,-0.000974548,-0.01304285,0.000979971,2.5,1.821454,1.460345,-0.1787148,2.902841,-3.081556,2.992198,0.1805546,-0.2166173,-0.2415636,-0.3373991,0.09583548
5_481.25_-3,5,481.25,-3,2000,-0.014415905,0.021453773,0.229944713,-0.001325322,-0.015426338,0.001200817,2.75,1.839863,1.453348,-0.1923793,2.825942,-3.018321,2.922132,0.1932578,-0.2452589,-0.2862085,-0.3883631,0.1021546
5_487.5_-3,5,487.5,-3,2000,-0.010915806,0.015392109,0.188678619,-0.000963788,-0.013078421,0.000967198,2.5,1.812378,1.459889,-0.1767158,2.912195,-3.088911,3.000553,0.1762448,-0.2140248,-0.2385141,-0.3332818,0.0947677
5_495.0_-3,5,495,-3,2000,-0.014300012,0.021405866,0.232902597,-0.001312028,-0.015682992,0.001202432,2.75,1.859459,1.476269,-0.1909391,2.875499,-3.066438,2.970968,0.1915948,-0.2425243,-0.2841204,-0.3845845,0.1004641
5_498.75_-3,5,498.75,-3,2000,-0.004557171,0.006684055,0.1031559,-0.000482838,-0.007417775,0.000315558,1.75,1.865805,1.795117,-0.1570803,3.409071,-3.566151,3.487611,0.03534409,-0.2111718,-0.1655015,-0.2939225,0.1284211
5_500.0_-3,5,500,-3,2000,-0.010758037,0.015280272,0.188889722,-0.000946812,-0.013185618,0.000946213,2.5,1.807002,1.469101,-0.1745623,2.938155,-3.112717,3.025436,0.1689503,-0.2098822,-0.2350406,-0.3274025,0.09236187
5_500.0_-3,5,500,-3,2000,-0.003379132,0.002607821,0.066697355,-0.000316066,-0.004841368,-2.73E-05,1.25,2.061155,2.586024,-0.244694,4.35256,-4.597254,4.474907,-0.2624348,-0.259872,-0.03011059,-0.2749273,0.2448167
5_501.875_-3,5,501.875,-3,2000,-0.014229749,0.021347811,0.234389986,-0.001304811,-0.015807044,0.001203445,2.75,1.869349,1.487764,-0.1900581,2.899549,-3.089607,2.994578,0.1907924,-0.24105,-0.2825592,-0.3823295,0.09977038
5_506.25_-3,5,506.25,-3,2000,-0.008467179,0.011930518,0.157419558,-0.000739418,-0.01117598,0.000688872,2.25,1.81827,1.554618,-0.1712682,3.083162,-3.25443,3.168796,0.1318262,-0.2004354,-0.2159102,-0.3083905,0.09248024
5_508.75_-3,5,508.75,-3,2000,-0.014143979,0.021232152,0.235763829,-0.001296416,-0.015919746,0.001204262,2.75,1.878403,1.49848,-0.188976,2.921555,-3.110532,3.016044,0.1899618,-0.2393547,-0.2801579,-0.3794336,0.09927575
5_510_-3,5,510,-3,2000,-0.017145394,0.025607996,0.269679644,-0.001592253,-0.018035339,0.001429571,3,1.818549,1.425599,-0.1927241,2.773124,-2.965848,2.869486,0.1964753,-0.2480158,-0.2891179,-0.3925747,0.1034568
5_510.0_-3,5,510,-3,2000,-0.003715057,0.004257923,0.08316381,-0.000388046,-0.006037437,0.00010943,1.5,1.912592,2.108477,-0.1820955,3.779257,-3.961352,3.870304,-0.09794295,-0.2256204,-0.09845788,-0.2748493,0.1763914
