Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
7_300_5,7,300,5,1,-0.002901782,-0.00293715,0.033363627,-0.000320329,-0.003184343,-0.000399602,3.595306,-0.2697888,4.53282,-0.739049,-0.417019,0.438098
3_300_-3,3,300,-3,1,-0.000580912,0.002099753,0.033362672,-0.000116273,-0.002406015,9.12E-05,3.641276,-0.05505685,3.480378,-0.02505526,-0.1529669,-0.1303834
3_195_0,3,195,0,1,-0.001078315,0.001588377,0.033322223,-0.000165354,-0.002376002,9.26E-05,3.619502,-0.08517183,3.409615,0.05591163,-0.2256922,-0.1222957
1_175_1,1,175,1,1,-0.000444945,0.001593654,0.033296836,-0.000166818,-0.002337177,6.82E-05,3.608717,-0.00990434,3.343742,0.03580529,-0.2301956,-0.134457
5_210_-1,5,210,-1,1,-0.001970782,0.001811772,0.033222118,-0.000170648,-0.002394319,0.000100341,3.615048,-0.1880823,3.443976,0.05694034,-0.2305537,-0.1409774
1_180_1,-1,180,1,1,0.000510409,0.001469083,0.033195643,-0.000138401,-0.002344524,6.20E-05,3.593988,0.09408391,3.351174,0.02837495,-0.1922154,-0.1236911
1_240_-1,1,240,-1,1,-4.04E-06,0.001904439,0.033176817,-9.81E-05,-0.002448039,9.31E-05,3.604356,0.02577225,3.515235,0.02197225,-0.1317464,-0.1367627
3_180_0,3,180,0,1,-0.001193131,0.001782927,0.033169269,-0.000184146,-0.002296722,9.19E-05,3.602148,-0.09611845,3.294857,0.06555372,-0.2537332,-0.1509246
9_180_-1,9,180,-1,1,-0.00419003,0.002100813,0.033166259,-0.00022635,-0.002276695,9.03E-05,3.61236,-0.4276062,3.276196,0.06548547,-0.3085217,-0.1861221
5_175_0,5,175,0,1,-0.002229656,0.001819785,0.033156644,-0.000202906,-0.002283161,8.35E-05,3.603625,-0.2107115,3.27775,0.05703715,-0.2788101,-0.1575758
1_195_1,-1,195,1,1,0.000608025,0.001197573,0.033138569,-0.000115689,-0.002413772,5.79E-05,3.588375,0.1034458,3.450929,0.01214708,-0.1594638,-0.08856143
3_225_-1,3,225,-1,1,-0.000902779,0.001809543,0.033124621,-0.000138209,-0.002410773,9.72E-05,3.602324,-0.07259916,3.46595,0.03981107,-0.1862983,-0.1338868
1_180_0,1,180,0,1,-0.00039236,0.001957626,0.033119976,-0.000159783,-0.002314508,0.000102116,3.592352,-0.006407975,3.315293,0.08081559,-0.2208971,-0.1704524
1_150_5,1,150,5,1,-0.000714531,-0.000546086,0.033047632,-0.000211172,-0.002287077,-7.24E-05,3.574475,-0.03296251,3.26227,-0.1444667,-0.2926563,0.08263201
7_180_-1,7,180,-1,1,-0.003148495,0.002080576,0.033030959,-0.000207716,-0.002257111,0.000102244,3.595708,-0.3130546,3.246675,0.08231891,-0.28419,-0.184012
5_270_-3,5,270,-3,1,-0.001702428,0.002175003,0.032998528,-0.000150009,-0.002372366,0.000109355,3.600038,-0.1723506,3.428278,0.02697141,-0.1983311,-0.1535779
11_150_3,11,150,3,1,-0.005663455,0.000325482,0.032972724,-0.000283716,-0.002209763,-4.19E-05,3.587975,-0.5797789,3.17078,-0.1037898,-0.3907323,-0.006424343
7_255_-3,7,255,-3,1,-0.002771432,0.002163093,0.032951108,-0.000173507,-0.002361458,0.000114827,3.595261,-0.2868924,3.411959,0.04777485,-0.2290397,-0.1593384
9_240_-3,9,240,-3,1,-0.003880409,0.002175771,0.032932773,-0.000198538,-0.002357009,0.000114485,3.592916,-0.4054765,3.403719,0.06019511,-0.2627171,-0.1678641
11_175_-1,11,175,-1,1,-0.00528187,0.002134321,0.032916063,-0.000245484,-0.002254405,7.88E-05,3.587335,-0.54595,3.245206,0.05363676,-0.334838,-0.1934228
1_195_0,1,195,0,1,-0.000319102,0.001674942,0.032892504,-0.000142727,-0.00237061,9.77E-05,3.568203,-0.000155742,3.396592,0.06238963,-0.1958663,-0.1327251
5_180_-1,5,180,-1,1,-0.002161199,0.00212974,0.032889497,-0.000194993,-0.002247168,0.000111673,3.577383,-0.2051963,3.230243,0.09567441,-0.2683353,-0.1905103
5_195_3,-5,195,3,1,0.003282762,-2.90E-06,0.032884132,-8.89E-05,-0.002420659,-2.91E-05,3.550574,0.3827333,3.449374,-0.1042541,-0.124853,0.03042249
9_150_3,9,150,3,1,-0.004598798,0.000354174,0.032789524,-0.000265956,-0.002201378,-2.71E-05,3.565045,-0.4641696,3.157036,-0.08346715,-0.3665706,-0.008936279
3_175_0,3,175,0,1,-0.001205325,0.001829787,0.032751406,-0.000184128,-0.002256454,9.35E-05,3.556714,-0.09740707,3.236922,0.07138209,-0.2541027,-0.1582821
1_210_0,-1,210,0,1,0.000731349,0.001746755,0.032719498,-0.000104846,-0.002397688,9.19E-05,3.544914,0.1106568,3.430629,0.04276459,-0.1433044,-0.1357344
3_285_-3,3,285,-3,1,-0.000656987,0.0021449,0.03268832,-0.000113571,-0.002354434,0.000100426,3.566622,-0.0604603,3.403521,0.002626597,-0.1502639,-0.1446406
