Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
9_500_0,9,5.000000e+02,0,3.000000e+00,2000,-4.526356e-02,2.465113e-02,2.951907e-01,-2.076658e-03,-2.055936e-02,1.255988e-03,3.554756e+00,1.935577e+00,1.619179e+00,-5.066307e-01,3.011626e+00,-3.518256e+00,3.264941e+00,1.581993e-01,-3.184373e-01,-2.716826e-01,-4.542786e-01,1.825960e-01
9_525_-2,9,5.250000e+02,-2,3.000000e+00,2000,-4.231415e-02,3.101139e-02,2.836133e-01,-1.863987e-03,-1.948232e-02,1.842224e-03,3.417438e+00,1.954080e+00,1.463358e+00,-4.734265e-01,2.860113e+00,-3.333540e+00,3.096827e+00,2.453608e-01,-2.837221e-01,-3.423244e-01,-4.548843e-01,1.125599e-01
9_525_-1,9,5.250000e+02,-1,3.000000e+00,2000,-4.381194e-02,2.809570e-02,2.926571e-01,-1.972605e-03,-2.033363e-02,1.588414e-03,3.525450e+00,1.967860e+00,1.557590e+00,-4.902341e-01,2.985674e+00,-3.475908e+00,3.230791e+00,2.051353e-01,-3.008621e-01,-3.083346e-01,-4.550294e-01,1.466948e-01
9_525_0,9,5.250000e+02,0,3.000000e+00,2000,-4.539164e-02,2.512062e-02,3.026552e-01,-2.100324e-03,-2.121315e-02,1.303588e-03,3.645023e+00,1.983209e+00,1.661813e+00,-5.077113e-01,3.115539e+00,-3.623251e+00,3.369395e+00,1.606980e-01,-3.212021e-01,-2.740648e-01,-4.582345e-01,1.841697e-01
9_550_-2,9,5.500000e+02,-2,3.000000e+00,2000,-4.200265e-02,3.176883e-02,2.888472e-01,-1.863981e-03,-1.997744e-02,1.900605e-03,3.481111e+00,1.989931e+00,1.491179e+00,-4.695507e-01,2.941614e+00,-3.411165e+00,3.176389e+00,2.493760e-01,-2.826749e-01,-3.476006e-01,-4.564752e-01,1.088746e-01
9_550_-1,9,5.500000e+02,-1,3.000000e+00,2000,-4.353475e-02,2.888856e-02,2.989269e-01,-1.985722e-03,-2.090585e-02,1.641537e-03,3.601454e+00,2.009197e+00,1.592257e+00,-4.868428e-01,3.079089e+00,-3.565932e+00,3.322511e+00,2.084703e-01,-3.019331e-01,-3.145571e-01,-4.592116e-01,1.446545e-01
9_550_0,9,5.500000e+02,0,3.000000e+00,2000,-4.531131e-02,2.565031e-02,3.098771e-01,-2.118205e-03,-2.184214e-02,1.348771e-03,3.732361e+00,2.029097e+00,1.703264e+00,-5.065504e-01,3.216730e+00,-3.723280e+00,3.470005e+00,1.629167e-01,-3.230646e-01,-2.772614e-01,-4.616953e-01,1.844340e-01
9_400_-2,9,4.000000e+02,-2,4.000000e+00,2000,-7.486320e-02,4.101840e-02,3.944747e-01,-3.279644e-03,-2.302052e-02,1.837621e-03,2.667670e+00,1.484759e+00,1.182910e+00,-4.823958e-01,1.811620e+00,-2.294015e+00,2.052818e+00,1.509244e-01,-2.887433e-01,-2.740976e-01,-4.257921e-01,1.516945e-01
9_400_-1,9,4.000000e+02,-1,4.000000e+00,2000,-7.549505e-02,3.482745e-02,4.007823e-01,-3.377838e-03,-2.350113e-02,1.504094e-03,2.710206e+00,1.476588e+00,1.233618e+00,-4.862329e-01,1.852201e+00,-2.338434e+00,2.095318e+00,1.214852e-01,-2.975781e-01,-2.326474e-01,-4.139017e-01,1.812544e-01
9_400_0,9,4.000000e+02,0,4.000000e+00,2000,-7.591542e-02,2.850592e-02,4.061332e-01,-3.473168e-03,-2.391316e-02,1.174523e-03,2.746362e+00,1.465571e+00,1.280792e+00,-4.887124e-01,1.887495e+00,-2.376207e+00,2.131851e+00,9.238951e-02,-3.061317e-01,-1.899709e-01,-4.011171e-01,2.111462e-01
