Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
5_450_-2,5,4.500000e+02,-2,3.500000e+00,2000,-3.173625e-02,3.460783e-02,3.198136e-01,-2.252736e-03,-2.093066e-02,2.134092e-03,2.825941e+00,1.635831e+00,1.190110e+00,-2.532750e-01,2.314730e+00,-2.568005e+00,2.441367e+00,2.228604e-01,-2.572176e-01,-2.900344e-01,-4.022348e-01,1.122004e-01
5_450_-1,5,4.500000e+02,-1,3.500000e+00,2000,-3.283490e-02,2.970644e-02,3.242298e-01,-2.378823e-03,-2.131359e-02,1.849977e-03,2.864438e+00,1.620453e+00,1.243984e+00,-2.626789e-01,2.354224e+00,-2.616903e+00,2.485564e+00,1.882344e-01,-2.717086e-01,-2.453594e-01,-3.943883e-01,1.490289e-01
5_450_0,5,4.500000e+02,0,3.500000e+00,2000,-3.417638e-02,2.536835e-02,3.325583e-01,-2.413977e-03,-2.194774e-02,1.555091e-03,2.937601e+00,1.623395e+00,1.314206e+00,-2.739719e-01,2.421728e+00,-2.695700e+00,2.558714e+00,1.545941e-01,-2.758953e-01,-2.085811e-01,-3.801858e-01,1.716048e-01
5_475_-2,5,4.750000e+02,-2,3.500000e+00,2000,-3.149469e-02,3.735098e-02,3.311501e-01,-2.187747e-03,-2.187807e-02,2.279007e-03,2.926601e+00,1.701039e+00,1.225562e+00,-2.495263e-01,2.427512e+00,-2.677038e+00,2.552275e+00,2.377382e-01,-2.492994e-01,-3.133702e-01,-4.059845e-01,9.261433e-02
5_475_-1,5,4.750000e+02,-1,3.500000e+00,2000,-3.215842e-02,3.254792e-02,3.366922e-01,-2.306818e-03,-2.241372e-02,2.006316e-03,2.975026e+00,1.692847e+00,1.282179e+00,-2.550019e-01,2.486787e+00,-2.741789e+00,2.614288e+00,2.053341e-01,-2.630730e-01,-2.702950e-01,-3.982205e-01,1.279254e-01
5_475_0,5,4.750000e+02,0,3.500000e+00,2000,-3.357951e-02,2.789392e-02,3.442717e-01,-2.357179e-03,-2.306136e-02,1.698337e-03,3.041556e+00,1.690259e+00,1.351297e+00,-2.670433e-01,2.555502e+00,-2.822545e+00,2.689023e+00,1.694810e-01,-2.689060e-01,-2.297281e-01,-3.837700e-01,1.540419e-01
5_500_-2,5,5.000000e+02,-2,3.500000e+00,2000,-3.135628e-02,3.965839e-02,3.418795e-01,-2.148066e-03,-2.276225e-02,2.400972e-03,3.021883e+00,1.760485e+00,1.261397e+00,-2.470290e-01,2.532309e+00,-2.779338e+00,2.655824e+00,2.495441e-01,-2.442882e-01,-3.324421e-01,-4.105092e-01,7.806719e-02
5_500_-1,5,5.000000e+02,-1,3.500000e+00,2000,-3.187629e-02,3.515131e-02,3.481329e-01,-2.247333e-03,-2.335767e-02,2.141360e-03,3.076609e+00,1.756967e+00,1.319642e+00,-2.510704e-01,2.599311e+00,-2.850382e+00,2.724847e+00,2.186624e-01,-2.557379e-01,-2.919996e-01,-4.017377e-01,1.097381e-01
5_500_0,5,5.000000e+02,0,3.500000e+00,2000,-3.316151e-02,3.043690e-02,3.564296e-01,-2.316695e-03,-2.411142e-02,1.820247e-03,3.149425e+00,1.756245e+00,1.393181e+00,-2.617627e-01,2.681006e+00,-2.942769e+00,2.811888e+00,1.815319e-01,-2.637976e-01,-2.509592e-01,-3.892772e-01,1.383180e-01
5_525_-2,5,5.250000e+02,-2,3.500000e+00,2000,-3.112525e-02,4.141715e-02,3.507435e-01,-2.125789e-03,-2.353917e-02,2.505132e-03,3.100677e+00,1.808995e+00,1.291682e+00,-2.440714e-01,2.624941e+00,-2.869012e+00,2.746976e+00,2.586567e-01,-2.412495e-01,-3.460916e-01,-4.142953e-01,6.820367e-02
5_525_-1,5,5.250000e+02,-1,3.500000e+00,2000,-3.161539e-02,3.731680e-02,3.587413e-01,-2.212884e-03,-2.423686e-02,2.254513e-03,3.170814e+00,1.814558e+00,1.356256e+00,-2.476438e-01,2.704060e+00,-2.951704e+00,2.827882e+00,2.291507e-01,-2.513013e-01,-3.095813e-01,-4.060919e-01,9.651060e-02
5_525_0,5,5.250000e+02,0,3.500000e+00,2000,-3.293159e-02,3.271621e-02,3.680878e-01,-2.285077e-03,-2.509699e-02,1.923549e-03,3.252856e+00,1.817473e+00,1.435383e+00,-2.583087e-01,2.798062e+00,-3.056371e+00,2.927217e+00,1.910454e-01,-2.597026e-01,-2.696921e-01,-3.945487e-01,1.248566e-01
5_550_-2,5,5.500000e+02,-2,3.500000e+00,2000,-3.071497e-02,4.215969e-02,3.569706e-01,-2.110300e-03,-2.413797e-02,2.590730e-03,3.156178e+00,1.842933e+00,1.313246e+00,-2.402668e-01,2.697343e+00,-2.937610e+00,2.817476e+00,2.648434e-01,-2.389769e-01,-3.502771e-01,-4.141155e-01,6.383839e-02
5_550_-1,5,5.500000e+02,-1,3.500000e+00,2000,-3.135867e-02,3.877963e-02,3.679743e-01,-2.188207e-03,-2.502500e-02,2.350085e-03,3.252837e+00,1.863508e+00,1.389329e+00,-2.445466e-01,2.798040e+00,-3.042587e+00,2.920314e+00,2.370898e-01,-2.479802e-01,-3.204808e-01,-4.082207e-01,8.773983e-02
5_550_0,5,5.500000e+02,0,3.500000e+00,2000,-3.268110e-02,3.464700e-02,3.791220e-01,-2.259350e-03,-2.602163e-02,2.009398e-03,3.350753e+00,1.873708e+00,1.477045e+00,-2.550589e-01,2.907939e+00,-3.162997e+00,3.035468e+00,1.983316e-01,-2.562953e-01,-2.852049e-01,-3.988978e-01,1.136929e-01
3_400_-2,3,4.000000e+02,-2,3.500000e+00,2000,-2.182805e-02,2.897219e-02,2.931507e-01,-2.146955e-03,-1.844628e-02,1.856772e-03,2.588612e+00,1.488546e+00,1.100066e+00,-1.711634e-01,2.065514e+00,-2.236677e+00,2.151095e+00,1.942398e-01,-2.464994e-01,-2.426366e-01,-3.678177e-01,1.251811e-01
3_400_-1,3,4.000000e+02,-1,3.500000e+00,2000,-2.258235e-02,2.471559e-02,2.992837e-01,-2.213743e-03,-1.886038e-02,1.601871e-03,2.642334e+00,1.485412e+00,1.156922e+00,-1.773793e-01,2.110202e+00,-2.287581e+00,2.198892e+00,1.642449e-01,-2.542719e-01,-2.052299e-01,-3.568869e-01,1.516570e-01
3_400_0,3,4.000000e+02,0,3.500000e+00,2000,-2.329025e-02,2.052995e-02,3.061470e-01,-2.276866e-03,-1.936134e-02,1.325926e-03,2.702547e+00,1.483624e+00,1.218923e+00,-1.827977e-01,2.165259e+00,-2.348057e+00,2.256658e+00,1.323507e-01,-2.616798e-01,-1.692833e-01,-3.463215e-01,1.770382e-01
3_425_-2,3,4.250000e+02,-2,3.500000e+00,2000,-2.074123e-02,3.202766e-02,3.054322e-01,-2.083244e-03,-1.963195e-02,2.044841e-03,2.697548e+00,1.564038e+00,1.133510e+00,-1.592878e-01,2.210110e+00,-2.369398e+00,2.289754e+00,2.152643e-01,-2.388654e-01,-2.695450e-01,-3.736379e-01,1.040929e-01
3_425_-1,3,4.250000e+02,-1,3.500000e+00,2000,-2.150066e-02,2.743028e-02,3.107498e-01,-2.163854e-03,-2.009913e-02,1.765881e-03,2.744036e+00,1.554410e+00,1.189627e+00,-1.656635e-01,2.260866e+00,-2.426529e+00,2.343698e+00,1.823914e-01,-2.482155e-01,-2.287894e-01,-3.626102e-01,1.338208e-01
3_425_0,3,4.250000e+02,0,3.500000e+00,2000,-2.245656e-02,2.280021e-02,3.165117e-01,-2.266469e-03,-2.053297e-02,1.457814e-03,2.794493e+00,1.543108e+00,1.251384e+00,-1.733636e-01,2.306958e+00,-2.480322e+00,2.393640e+00,1.458621e-01,-2.601142e-01,-1.879201e-01,-3.540743e-01,1.661542e-01
3_450_-2,3,4.500000e+02,-2,3.500000e+00,2000,-2.027342e-02,3.486578e-02,3.166256e-01,-2.023337e-03,-2.061786e-02,2.208485e-03,2.796912e+00,1.630512e+00,1.166400e+00,-1.532003e-01,2.328587e+00,-2.481788e+00,2.405188e+00,2.320560e-01,-2.315519e-01,-2.933148e-01,-3.782094e-01,8.489454e-02
3_450_-1,3,4.500000e+02,-1,3.500000e+00,2000,-2.079800e-02,3.018453e-02,3.227179e-01,-2.088199e-03,-2.114067e-02,1.919284e-03,2.850209e+00,1.623831e+00,1.226378e+00,-1.576045e-01,2.386768e+00,-2.544372e+00,2.465570e+00,1.987267e-01,-2.391449e-01,-2.524702e-01,-3.653800e-01,1.129098e-01
3_450_0,3,4.500000e+02,0,3.500000e+00,2000,-2.158483e-02,2.514618e-02,3.285693e-01,-2.188699e-03,-2.165054e-02,1.590635e-03,2.901395e+00,1.611191e+00,1.290204e+00,-1.640568e-01,2.442338e+00,-2.606395e+00,2.524367e+00,1.604939e-01,-2.508638e-01,-2.084883e-01,-3.551079e-01,1.466196e-01
3_475_-2,3,4.750000e+02,-2,3.500000e+00,2000,-1.977821e-02,3.728970e-02,3.271870e-01,-1.974788e-03,-2.151427e-02,2.340213e-03,2.890674e+00,1.690354e+00,1.200320e+00,-1.473452e-01,2.436527e+00,-2.583872e+00,2.510199e+00,2.450170e-01,-2.255809e-01,-3.134012e-01,-3.822815e-01,6.888028e-02
3_475_-1,3,4.750000e+02,-1,3.500000e+00,2000,-2.035254e-02,3.276318e-02,3.340162e-01,-2.046126e-03,-2.213541e-02,2.061555e-03,2.950471e+00,1.687962e+00,1.262510e+00,-1.518501e-01,2.506072e+00,-2.657922e+00,2.581997e+00,2.127261e-01,-2.338813e-01,-2.736613e-01,-3.707119e-01,9.705061e-02
3_475_0,3,4.750000e+02,0,3.500000e+00,2000,-2.113024e-02,2.774106e-02,3.407820e-01,-2.165995e-03,-2.276157e-02,1.731838e-03,3.009699e+00,1.679046e+00,1.330654e+00,-1.579338e-01,2.575325e+00,-2.733259e+00,2.654292e+00,1.741959e-01,-2.478165e-01,-2.295677e-01,-3.626003e-01,1.330327e-01
3_500_-2,3,5.000000e+02,-2,3.500000e+00,2000,-1.926358e-02,3.910393e-02,3.364655e-01,-1.936646e-03,-2.230669e-02,2.453300e-03,2.973125e+00,1.741913e+00,1.231212e+00,-1.418007e-01,2.532255e+00,-2.674056e+00,2.603156e+00,2.553509e-01,-2.208086e-01,-3.276282e-01,-3.846227e-01,5.699446e-02
3_500_-1,3,5.000000e+02,-1,3.500000e+00,2000,-1.985222e-02,3.502062e-02,3.448067e-01,-2.009767e-03,-2.305454e-02,2.179823e-03,3.046239e+00,1.746942e+00,1.299296e+00,-1.460953e-01,2.616604e+00,-2.762700e+00,2.689652e+00,2.238230e-01,-2.293017e-01,-2.919895e-01,-3.752965e-01,8.330696e-02
3_500_0,3,5.000000e+02,0,3.500000e+00,2000,-2.062540e-02,3.020811e-02,3.526627e-01,-2.133633e-03,-2.379490e-02,1.860230e-03,3.115086e+00,1.743858e+00,1.371228e+00,-1.517462e-01,2.699324e+00,-2.851070e+00,2.775197e+00,1.863148e-01,-2.436598e-01,-2.495630e-01,-3.684413e-01,1.188783e-01
3_525_-2,3,5.250000e+02,-2,3.500000e+00,2000,-1.868027e-02,4.030778e-02,3.433027e-01,-1.896331e-03,-2.295234e-02,2.549916e-03,3.034086e+00,1.780124e+00,1.253962e+00,-1.361727e-01,2.610995e+00,-2.747168e+00,2.679082e+00,2.630813e-01,-2.157702e-01,-3.360078e-01,-3.837741e-01,4.776623e-02
3_525_-1,3,5.250000e+02,-1,3.500000e+00,2000,-1.933112e-02,3.683287e-02,3.542215e-01,-1.976948e-03,-2.388185e-02,2.284686e-03,3.129879e+00,1.797880e+00,1.331999e+00,-1.405182e-01,2.716396e+00,-2.856914e+00,2.786655e+00,2.329402e-01,-2.251208e-01,-3.059845e-01,-3.781130e-01,7.212854e-02
3_525_0,3,5.250000e+02,0,3.500000e+00,2000,-2.021848e-02,3.227109e-02,3.637967e-01,-2.102072e-03,-2.474689e-02,1.968190e-03,3.213843e+00,1.802805e+00,1.411038e+00,-1.468010e-01,2.813225e+00,-2.960026e+00,2.886626e+00,1.958833e-01,-2.396103e-01,-2.658855e-01,-3.725530e-01,1.066676e-01
3_550_-2,3,5.500000e+02,-2,3.500000e+00,2000,-1.810754e-02,4.114076e-02,3.492354e-01,-1.877211e-03,-2.351932e-02,2.635139e-03,3.087029e+00,1.812735e+00,1.274294e+00,-1.308291e-01,2.680449e+00,-2.811278e+00,2.745863e+00,2.692205e-01,-2.131997e-01,-3.409653e-01,-3.836824e-01,4.271705e-02
3_550_-1,3,5.500000e+02,-1,3.500000e+00,2000,-1.870784e-02,3.799127e-02,3.614577e-01,-1.953148e-03,-2.456062e-02,2.375746e-03,3.194310e+00,1.837022e+00,1.357288e+00,-1.345936e-01,2.799115e+00,-2.933708e+00,2.866412e+00,2.398668e-01,-2.219896e-01,-3.138795e-01,-3.789294e-01,6.504988e-02
3_550_0,3,5.500000e+02,0,3.500000e+00,2000,-1.975894e-02,3.399196e-02,3.736603e-01,-2.066054e-03,-2.561852e-02,2.065285e-03,3.301384e+00,1.854559e+00,1.446825e+00,-1.417420e-01,2.917855e+00,-3.059597e+00,2.988726e+00,2.038670e-01,-2.350331e-01,-2.788721e-01,-3.744691e-01,9.559704e-02
1_400_-2,1,4.000000e+02,-2,3.000000e+00,2000,-6.645959e-03,2.538544e-02,2.364816e-01,-1.345443e-03,-1.546031e-02,1.615525e-03,2.843005e+00,1.650593e+00,1.192412e+00,-5.355204e-02,2.428699e+00,-2.482251e+00,2.455475e+00,2.290901e-01,-2.099107e-01,-2.903109e-01,-3.550662e-01,6.475524e-02
1_400_-1,1,4.000000e+02,-1,3.000000e+00,2000,-6.790839e-03,2.223761e-02,2.413428e-01,-1.389440e-03,-1.588091e-02,1.412827e-03,2.900845e+00,1.647756e+00,1.253089e+00,-5.415971e-02,2.494304e+00,-2.548464e+00,2.521384e+00,1.973333e-01,-2.168467e-01,-2.528865e-01,-3.432900e-01,9.040348e-02
1_400_0,1,4.000000e+02,0,3.000000e+00,2000,-7.010012e-03,1.899838e-02,2.462545e-01,-1.439109e-03,-1.631809e-02,1.189404e-03,2.959483e+00,1.642217e+00,1.317267e+00,-5.643897e-02,2.561870e+00,-2.618309e+00,2.590090e+00,1.624750e-01,-2.246948e-01,-2.149073e-01,-3.321485e-01,1.172411e-01
1_425_-2,1,4.250000e+02,-2,3.000000e+00,2000,-6.110128e-03,2.663636e-02,2.444206e-01,-1.309302e-03,-1.613955e-02,1.701218e-03,2.939012e+00,1.708616e+00,1.230396e+00,-4.585561e-02,2.541022e+00,-2.586878e+00,2.563950e+00,2.391103e-01,-2.039052e-01,-3.031041e-01,-3.554573e-01,5.235315e-02
1_425_-1,1,4.250000e+02,-1,3.000000e+00,2000,-6.191865e-03,2.372062e-02,2.501960e-01,-1.354427e-03,-1.664124e-02,1.498738e-03,3.007799e+00,1.711451e+00,1.296348e+00,-4.535102e-02,2.619969e+00,-2.665321e+00,2.642645e+00,2.075517e-01,-2.109945e-01,-2.686372e-01,-3.453131e-01,7.667592e-02
1_425_0,1,4.250000e+02,0,3.000000e+00,2000,-6.415689e-03,2.079748e-02,2.559056e-01,-1.404518e-03,-1.717467e-02,1.279398e-03,3.076011e+00,1.711384e+00,1.364627e+00,-4.720817e-02,2.702949e+00,-2.750158e+00,2.726554e+00,1.733781e-01,-2.188682e-01,-2.344567e-01,-3.360966e-01,1.016399e-01
1_450_-2,1,4.500000e+02,-2,3.000000e+00,2000,-5.569866e-03,2.758769e-02,2.501633e-01,-1.265495e-03,-1.668879e-02,1.774012e-03,3.008732e+00,1.750608e+00,1.258124e+00,-3.862244e-02,2.632583e+00,-2.671205e+00,2.651894e+00,2.462415e-01,-1.966745e-01,-3.117050e-01,-3.525270e-01,4.082205e-02
1_450_-1,1,4.500000e+02,-1,3.000000e+00,2000,-5.572167e-03,2.473305e-02,2.574350e-01,-1.319821e-03,-1.727831e-02,1.573698e-03,3.095451e+00,1.762927e+00,1.332524e+00,-3.694035e-02,2.725992e+00,-2.762933e+00,2.744462e+00,2.152016e-01,-2.052069e-01,-2.780732e-01,-3.442435e-01,6.617028e-02
1_450_0,1,4.500000e+02,0,3.000000e+00,2000,-5.793963e-03,2.219805e-02,2.646265e-01,-1.380020e-03,-1.794997e-02,1.353450e-03,3.181348e+00,1.772054e+00,1.409294e+00,-3.810541e-02,2.831102e+00,-2.869207e+00,2.850155e+00,1.813802e-01,-2.146628e-01,-2.489138e-01,-3.391197e-01,9.020591e-02
1_475_-2,1,4.750000e+02,-2,3.000000e+00,2000,-5.105583e-03,2.830815e-02,2.552218e-01,-1.236176e-03,-1.719437e-02,1.840373e-03,3.070199e+00,1.787246e+00,1.282953e+00,-3.249129e-02,2.716662e+00,-2.749153e+00,2.732908e+00,2.521464e-01,-1.917386e-01,-3.172979e-01,-3.503875e-01,3.308962e-02
1_475_-1,1,4.750000e+02,-1,3.000000e+00,2000,-4.996786e-03,2.537701e-02,2.628162e-01,-1.298580e-03,-1.780151e-02,1.638718e-03,3.160804e+00,1.801002e+00,1.359803e+00,-2.971002e-02,2.813423e+00,-2.843133e+00,2.828278e+00,2.205997e-01,-2.015523e-01,-2.827777e-01,-3.429412e-01,6.016347e-02
1_475_0,1,4.750000e+02,0,3.000000e+00,2000,-5.317638e-03,2.288671e-02,2.724640e-01,-1.370519e-03,-1.861218e-02,1.420084e-03,3.276038e+00,1.825585e+00,1.450452e+00,-3.134400e-02,2.940146e+00,-2.971490e+00,2.955818e+00,1.875663e-01,-2.128719e-01,-2.544865e-01,-3.401151e-01,8.562859e-02
1_500_-2,1,5.000000e+02,-2,3.000000e+00,2000,-4.621626e-03,2.898269e-02,2.601549e-01,-1.188098e-03,-1.766631e-02,1.915942e-03,3.130215e+00,1.824348e+00,1.305868e+00,-2.602920e-02,2.795643e+00,-2.821672e+00,2.808658e+00,2.592399e-01,-1.837910e-01,-3.217655e-01,-3.446738e-01,2.290823e-02
1_500_-1,1,5.000000e+02,-1,3.000000e+00,2000,-4.507700e-03,2.598322e-02,2.686279e-01,-1.297403e-03,-1.834936e-02,1.704593e-03,3.231213e+00,1.841987e+00,1.389227e+00,-2.317406e-02,2.904373e+00,-2.927547e+00,2.915960e+00,2.263799e-01,-2.010812e-01,-2.871074e-01,-3.446349e-01,5.752751e-02
1_500_0,1,5.000000e+02,0,3.000000e+00,2000,-4.806890e-03,2.243844e-02,2.809054e-01,-1.371783e-03,-1.919166e-02,1.483129e-03,3.378035e+00,1.881835e+00,1.496200e+00,-2.479067e-02,3.035979e+00,-3.060769e+00,3.048374e+00,1.928176e-01,-2.128422e-01,-2.459132e-01,-3.357988e-01,8.988558e-02
1_525_-2,1,5.250000e+02,-2,3.000000e+00,2000,-4.151553e-03,2.947883e-02,2.660457e-01,-1.174113e-03,-1.814775e-02,1.987905e-03,3.201593e+00,1.866829e+00,1.334764e+00,-1.933131e-02,2.876169e+00,-2.895500e+00,2.885834e+00,2.660324e-01,-1.812994e-01,-3.245258e-01,-3.435624e-01,1.903652e-02
1_525_-1,1,5.250000e+02,-1,3.000000e+00,2000,-3.972791e-03,2.642537e-02,2.751827e-01,-1.262837e-03,-1.887739e-02,1.781534e-03,3.310567e+00,1.888918e+00,1.421649e+00,-1.574638e-02,2.992671e+00,-3.008418e+00,3.000544e+00,2.336344e-01,-1.952846e-01,-2.887778e-01,-3.396735e-01,5.089576e-02
1_525_0,1,5.250000e+02,0,3.000000e+00,2000,-4.192691e-03,2.284756e-02,2.855117e-01,-1.316863e-03,-1.970929e-02,1.550106e-03,3.434078e+00,1.915198e+00,1.518880e+00,-1.685665e-02,3.122804e+00,-3.139661e+00,3.131232e+00,1.981590e-01,-2.038017e-01,-2.468093e-01,-3.272064e-01,8.039705e-02
1_550_-2,1,5.500000e+02,-2,3.000000e+00,2000,-3.386270e-03,2.968513e-02,2.700181e-01,-1.107258e-03,-1.851812e-02,2.065002e-03,3.250197e+00,1.898154e+00,1.352043e+00,-9.660278e-03,2.940724e+00,-2.950385e+00,2.945554e+00,2.730553e-01,-1.703936e-01,-3.226763e-01,-3.317318e-01,9.055478e-03
1_550_-1,1,5.500000e+02,-1,3.000000e+00,2000,-3.175073e-03,2.692374e-02,2.803006e-01,-1.210555e-03,-1.936597e-02,1.855104e-03,3.372800e+00,1.926430e+00,1.446370e+00,-5.481177e-03,3.076182e+00,-3.081663e+00,3.078922e+00,2.400301e-01,-1.866587e-01,-2.904749e-01,-3.318961e-01,4.142120e-02
1_550_0,1,5.500000e+02,0,3.000000e+00,2000,-3.506978e-03,2.364081e-02,2.899629e-01,-1.265780e-03,-2.022422e-02,1.618847e-03,3.488183e+00,1.947777e+00,1.540405e+00,-7.808162e-03,3.209790e+00,-3.217598e+00,3.213694e+00,2.036862e-01,-1.953253e-01,-2.521861e-01,-3.214184e-01,6.923225e-02
5_400_-2,5,4.000000e+02,-2,3.000000e+00,2000,-2.351864e-02,2.573627e-02,2.420932e-01,-1.640832e-03,-1.592954e-02,1.555446e-03,2.912561e+00,1.675195e+00,1.237366e+00,-2.534094e-01,2.402783e+00,-2.656193e+00,2.529488e+00,2.189147e-01,-2.545307e-01,-2.929278e-01,-4.009946e-01,1.080668e-01
5_400_-1,5,4.000000e+02,-1,3.000000e+00,2000,-2.410663e-02,2.213968e-02,2.460918e-01,-1.723471e-03,-1.631282e-02,1.344591e-03,2.960011e+00,1.664862e+00,1.295149e+00,-2.601673e-01,2.459760e+00,-2.719927e+00,2.589844e+00,1.848568e-01,-2.675629e-01,-2.491859e-01,-3.921559e-01,1.429699e-01
5_400_0,5,4.000000e+02,0,3.000000e+00,2000,-2.517895e-02,1.863631e-02,2.513554e-01,-1.780282e-03,-1.676042e-02,1.111665e-03,3.022854e+00,1.659046e+00,1.363808e+00,-2.724163e-01,2.523888e+00,-2.796304e+00,2.660096e+00,1.476188e-01,-2.764909e-01,-2.072249e-01,-3.801034e-01,1.728784e-01
5_425_-2,5,4.250000e+02,-2,3.000000e+00,2000,-2.346293e-02,2.771136e-02,2.516325e-01,-1.602380e-03,-1.672843e-02,1.660319e-03,3.027881e+00,1.746624e+00,1.281257e+00,-2.509495e-01,2.531387e+00,-2.782337e+00,2.656862e+00,2.326835e-01,-2.479547e-01,-3.152151e-01,-4.055623e-01,9.034712e-02
5_425_-1,5,4.250000e+02,-1,3.000000e+00,2000,-2.394390e-02,2.427915e-02,2.562791e-01,-1.676202e-03,-1.716737e-02,1.454316e-03,3.083170e+00,1.741102e+00,1.342069e+00,-2.562046e-01,2.597965e+00,-2.854170e+00,2.726068e+00,1.995166e-01,-2.595821e-01,-2.735130e-01,-3.963386e-01,1.228256e-01
5_425_0,5,4.250000e+02,0,3.000000e+00,2000,-2.480068e-02,2.080243e-02,2.622031e-01,-1.724746e-03,-1.771092e-02,1.216905e-03,3.153935e+00,1.739053e+00,1.414881e+00,-2.658402e-01,2.678584e+00,-2.944424e+00,2.811504e+00,1.620860e-01,-2.672507e-01,-2.322104e-01,-3.833559e-01,1.511455e-01
5_450_-2,5,4.500000e+02,-2,3.000000e+00,2000,-2.338302e-02,2.919474e-02,2.598132e-01,-1.582939e-03,-1.743513e-02,1.743337e-03,3.126859e+00,1.805790e+00,1.321070e+00,-2.486582e-01,2.645344e+00,-2.894002e+00,2.769673e+00,2.423598e-01,-2.443409e-01,-3.309169e-01,-4.097994e-01,7.888244e-02
5_450_-1,5,4.500000e+02,-1,3.000000e+00,2000,-2.380598e-02,2.607098e-02,2.656731e-01,-1.645231e-03,-1.795121e-02,1.546768e-03,3.196767e+00,1.809276e+00,1.387490e+00,-2.530222e-01,2.724595e+00,-2.977618e+00,2.851106e+00,2.108929e-01,-2.541375e-01,-2.931813e-01,-4.007281e-01,1.075468e-01
5_450_0,5,4.500000e+02,0,3.000000e+00,2000,-2.469384e-02,2.264166e-02,2.725438e-01,-1.698642e-03,-1.857293e-02,1.298391e-03,3.278865e+00,1.811435e+00,1.467430e+00,-2.627645e-01,2.817455e+00,-3.080220e+00,2.948837e+00,1.720023e-01,-2.626050e-01,-2.527366e-01,-3.889733e-01,1.362367e-01
5_475_-2,5,4.750000e+02,-2,3.000000e+00,2000,-2.312752e-02,2.987087e-02,2.655080e-01,-1.571394e-03,-1.798192e-02,1.808506e-03,3.195962e+00,1.846153e+00,1.349808e+00,-2.451686e-01,2.734678e+00,-2.979846e+00,2.857262e+00,2.481724e-01,-2.419312e-01,-3.362115e-01,-4.100369e-01,7.382545e-02
5_475_-1,5,4.750000e+02,-1,3.000000e+00,2000,-2.363390e-02,2.732110e-02,2.737294e-01,-1.628971e-03,-1.864365e-02,1.624523e-03,3.294259e+00,1.866475e+00,1.427784e+00,-2.498437e-01,2.836768e+00,-3.086612e+00,2.961690e+00,2.193455e-01,-2.509924e-01,-3.057496e-01,-4.038672e-01,9.811760e-02
5_475_0,5,4.750000e+02,0,3.000000e+00,2000,-2.455598e-02,2.413824e-02,2.820364e-01,-1.679189e-03,-1.937179e-02,1.365533e-03,3.393566e+00,1.875997e+00,1.517569e+00,-2.597385e-01,2.946306e+00,-3.206044e+00,3.076175e+00,1.792141e-01,-2.589910e-01,-2.687259e-01,-3.933539e-01,1.246280e-01
5_500_-2,5,5.000000e+02,-2,3.000000e+00,2000,-2.306341e-02,3.022398e-02,2.720551e-01,-1.566938e-03,-1.849055e-02,1.872555e-03,3.275266e+00,1.891310e+00,1.383955e+00,-2.439499e-01,2.816794e+00,-3.060744e+00,2.938769e+00,2.536776e-01,-2.406497e-01,-3.374436e-01,-4.093715e-01,7.192794e-02
5_500_-1,5,5.000000e+02,-1,3.000000e+00,2000,-2.363786e-02,2.683571e-02,2.814835e-01,-1.642894e-03,-1.916941e-02,1.676715e-03,3.388019e+00,1.917009e+00,1.471010e+00,-2.499097e-01,2.920885e+00,-3.170795e+00,3.045840e+00,2.229996e-01,-2.526702e-01,-2.967938e-01,-4.010671e-01,1.042733e-01
5_500_0,5,5.000000e+02,0,3.000000e+00,2000,-2.450984e-02,2.393074e-02,2.900640e-01,-1.676062e-03,-1.995435e-02,1.415322e-03,3.490660e+00,1.927878e+00,1.562782e+00,-2.591775e-01,3.039695e+00,-3.298872e+00,3.169283e+00,1.825484e-01,-2.579311e-01,-2.629250e-01,-3.893936e-01,1.264686e-01
5_525_-2,5,5.250000e+02,-2,3.000000e+00,2000,-2.283805e-02,3.046442e-02,2.785220e-01,-1.558388e-03,-1.898963e-02,1.944894e-03,3.353754e+00,1.937006e+00,1.416748e+00,-2.406165e-01,2.898512e+00,-3.139128e+00,3.018820e+00,2.601290e-01,-2.386428e-01,-3.363770e-01,-4.068312e-01,7.045427e-02
5_525_-1,5,5.250000e+02,-1,3.000000e+00,2000,-2.347661e-02,2.705189e-02,2.871774e-01,-1.630605e-03,-1.969903e-02,1.733535e-03,3.457156e+00,1.955707e+00,1.501449e+00,-2.473839e-01,3.006924e+00,-3.254308e+00,3.130616e+00,2.271293e-01,-2.500908e-01,-2.956425e-01,-3.979121e-01,1.022696e-01
5_525_0,5,5.250000e+02,0,3.000000e+00,2000,-2.445649e-02,2.373255e-02,2.962628e-01,-1.685392e-03,-2.050936e-02,1.463009e-03,3.565709e+00,1.967936e+00,1.597774e+00,-2.581657e-01,3.128913e+00,-3.387079e+00,3.257996e+00,1.850811e-01,-2.588155e-01,-2.571271e-01,-3.873790e-01,1.302519e-01
