# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
1_585_-7,-1,585,-7,3,0.00295262,0.027738199,0.211562787,-0.000601103,-0.013894806,0.001629994,2.548101,0.05088476,2.215797,0.2227054,-0.09589321,-0.3105187
1_585_0,-1,585,0,3,0.006249369,0.017261489,0.293308256,-0.001136479,-0.021126465,0.001084084,3.519079,0.09404456,3.349669,0.1253925,-0.1766089,-0.1795361
1_585_1,-1,585,1,3,0.005609805,0.012130192,0.302811302,-0.001090754,-0.022072864,0.000625808,3.632175,0.08932315,3.498434,0.05760878,-0.1696942,-0.1215203
1_585_3,-1,585,3,3,0.005909481,0.002861083,0.337559442,-0.001515863,-0.024651648,-0.00025193,4.045552,0.1004055,3.902882,-0.07705017,-0.2360193,-0.01340636
1_585_5,-1,585,5,3,0.007211556,-0.007583194,0.352975432,-0.001616954,-0.025934378,-0.00109583,4.228604,0.1168499,4.103155,-0.2066133,-0.2510928,0.1084536
1_630_-1,-1,630,-1,3,0.008158859,0.023222596,0.277774774,-0.000830561,-0.020295638,0.001453128,3.336264,0.1130617,3.222657,0.1743018,-0.1289589,-0.2444129
1_630_-3,-1,630,-3,3,0.00468578,0.02297007,0.253315541,-0.000409336,-0.017972767,0.001322574,3.045449,0.07384616,2.85775,0.1608009,-0.0640258,-0.2461693
1_630_-5,-1,630,-5,3,0.005716622,0.025586436,0.228634354,-0.000570325,-0.015573135,0.001526292,2.753508,0.08401208,2.483282,0.1970324,-0.09011464,-0.2792683
1_630_-7,-1,630,-7,3,0.004028764,0.026663718,0.209919991,-0.000523252,-0.013749221,0.001489393,2.530364,0.06155159,2.195598,0.1947425,-0.08367968,-0.2940643
1_630_0,-1,630,0,3,0.007629759,0.017692967,0.296247096,-0.001023133,-0.021716569,0.000984616,3.554556,0.1087975,3.443721,0.1022978,-0.1584993,-0.1800129
1_630_1,-1,630,1,3,0.007059351,0.01233596,0.3061734,-0.000968606,-0.02274761,0.000492495,3.672576,0.1053411,3.60555,0.02962696,-0.1502325,-0.1197718
1_630_3,-1,630,3,3,0.00764628,0.000950287,0.335536041,-0.001278444,-0.025194397,-0.000337578,4.021851,0.1180809,3.989358,-0.0956747,-0.1982843,0.01139741
1_630_5,-1,630,5,3,0.008176495,-0.008738341,0.360260749,-0.001365122,-0.027227124,-0.001179683,4.315934,0.1270977,4.308106,-0.2235047,-0.2108538,0.12482
5_180_-1,-5,180,-1,1,0.002661071,0.001828294,0.027908164,-7.77E-05,-0.001941899,0.000125414,3.022414,0.3105105,2.779529,0.1124134,-0.1125521,-0.1586982
5_180_-3,-5,180,-3,1,0.002279686,0.002530508,0.025821596,-6.53E-05,-0.001783671,0.000164752,2.800774,0.2735579,2.558443,0.1685806,-0.09599537,-0.2313001
5_180_-5,-5,180,-5,1,0.001948479,0.002965665,0.023807488,-4.94E-05,-0.001609143,0.00019061,2.586963,0.2398795,2.314032,0.2076215,-0.07467826,-0.278207
5_180_-7,-5,180,-7,1,0.001669629,0.00321511,0.021878321,-3.66E-05,-0.001435141,0.000201583,2.382656,0.2096028,2.070877,0.2256002,-0.05765551,-0.3059567
