# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_480_0,0,480,0,250.0,7348447692.54,8956515895.02,58843766685.6,-462023215.50399995,2866179175.122,-693307237.046
0_0_0,0,0,0,250.0,-0.0013381696723800001,-0.0005836373164800001,0.05432084890000001,-0.0008211691018799998,-0.00265292086008,-3.20483626e-05
0_120_0,0,120,0,250.0,-0.002339740690000001,0.00015222035620000008,0.17505982016599994,-0.0022983501295800006,-0.008977305537,-0.00010669905060000002
