# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,250.0,0.00023530992760000002,0.0046943263658,0.047825399742000015,-0.0006225605735799999,0.0032951268663999993,-0.00032108646492
5_0_0,5,0,0,250.0,-0.004128987722400001,0.0001683807712,0.048066938803999995,-0.0006602157404200002,0.0034609375586,-7.891195765999998e-05
10_540_0,10,540,0,250.0,-0.12289570846,0.028176051019999995,0.72352100162,-0.0174013256,0.04726311399020001,-0.0063686909499999994
10_540_-5,10,540,-5,250.0,-0.13264585022,0.09519496749999998,0.753533303218,-0.017436104461999998,0.052505627974600004,-0.011414073989999999
5_420_0,5,420,0,250.0,-0.025076825199999996,0.004253900746,0.28317657600999985,-0.008366903638399998,0.02464989145000001,-0.001631688536
0_540_-5,0,540,-5,250.0,-0.0029141001359999997,0.08874180080000002,0.7864090636999997,-0.020688069655600005,0.057698287706600015,-0.008278326922
10_0_0,10,0,0,250.0,-0.008284683146599997,0.00011275518799999998,0.047113831248000004,-0.00065278614808,0.0035726758572,-0.000134633015508
0_420_-5,0,420,-5,250.0,-0.00056637822,0.03473200598,0.32275422568600004,-0.009370866665659998,0.028945998461600016,-0.0035098675439999994
10_420_0,10,420,0,250.0,-0.0469445636,0.006353961160000001,0.271402574124,-0.0078859481758,0.023579459312799998,-0.002405244636
10_360_0,10,360,0,250.0,-0.03365563328,-0.0020374472800000006,0.17465905784799998,-0.005448560740400001,0.017183008801799994,-0.001271726332
5_420_-5,5,420,-5,250.0,-0.0283606235,0.040593693859999995,0.34354561993599986,-0.00918106007,0.028578266379999995,-0.004505155202000001
5_540_0,5,540,0,250.0,-0.06460054356,0.021377339200000005,0.7630202934999998,-0.019097997852800003,0.0509377916454,-0.004854283452
0_0_0,0,0,0,250.0,0.0002173648362,-1.989307820000003e-05,0.04823891590999999,-0.0006507019651000001,0.0033132491074,-1.0499325399999998e-06
10_420_-5,10,420,-5,250.0,-0.0556465956,0.03142016912,0.3188810697140001,-0.008609676214400001,0.02838906417779999,-0.004862265884
0_420_0,0,420,0,250.0,-0.0010340889759999999,-0.0024160092800000013,0.304526270946,-0.0086197847436,0.026691620017800004,-0.0002310731439999999
0_360_-5,0,360,-5,250.0,-0.00333562406,0.016873874299999994,0.21168946787399992,-0.0064143295159999995,0.0203069542696,-0.0021550102520000005
10_360_-5,10,360,-5,250.0,-0.03954296178,0.013055472039999997,0.2054326030262,-0.0059394283764,0.020459881151,-0.002926819454
5_540_-5,5,540,-5,250.0,-0.06616842532,0.08124473537999999,0.7315233289820002,-0.019179750744600002,0.055426752075399995,-0.009411115060000001
0_540_0,0,540,0,250.0,0.0028061925400000003,0.016130034580000004,0.94190228468,-0.021166692544999997,0.05921392668399998,-0.0019510105539999997
10_0_-5,10,0,-5,250.0,-0.0081590536046,0.004292669345999999,0.046719623054000015,-0.0005576623687199998,0.003537800491600001,-0.0004259151685800001
5_360_-5,5,360,-5,250.0,-0.02158579728,0.01712748368,0.22144289996400005,-0.0063862361267999984,0.0207910521454,-0.002702271472
5_0_-5,5,0,-5,250.0,-0.003959595904600001,0.004450718839800001,0.047522516326,-0.0005905517917000001,0.003423903533399999,-0.00037021220554
0_360_0,0,360,0,250.0,-0.00244705385,-0.004197154939999998,0.20325897540600002,-0.0059405245212,0.019165505072800005,5.325702800000002e-05
5_360_0,5,360,0,250.0,-0.018932733880000004,0.0004351036820000006,0.19678291479000007,-0.005890578130600001,0.018025300757799997,-0.001031664008
