Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_180_10,10,180,10,3,-0.03096966,-0.021678346,0.1417085,-0.001599142,-0.006894695,-0.001444977
0_360_10,0,360,10,3,-0.001983651,-0.027603075,0.263590951,-0.002002733,-0.017180929,-0.002004422
5_600_5,5,600,5,3,-0.022484597,-0.006780173,0.378172959,-0.002160771,-0.027664482,-0.00142995
5_570_5,5,570,5,3,-0.022470887,-0.005449522,0.367939121,-0.002203,-0.026598915,-0.001277867
0_210_-5,0,210,-5,3,-0.005546029,0.015927309,0.148306288,-0.001327012,-0.007386995,0.000764273
5_480_5,5,480,5,3,-0.022280117,-0.004446024,0.326287255,-0.002195025,-0.022715769,-0.000857356
0_360_5,0,360,5,3,-0.002769194,-0.005909566,0.25119763,-0.00175019,-0.016462323,-0.000524272
5_540_-5,5,540,-5,3,-0.015048895,0.027421962,0.259952817,-0.001452745,-0.017098097,0.001498429
0_300_5,0,300,5,3,-0.005346978,-0.007748366,0.224269941,-0.0018434,-0.013450686,-0.000518247
0_180_0,0,180,0,3,-0.00536485,0.002287724,0.13643468,-0.001409757,-0.006674614,6.92E-05
10_570_-5,10,570,-5,3,-0.036128414,0.028533497,0.274649929,-0.001952579,-0.018224806,0.001395445
10_330_10,10,330,10,3,-0.044040233,-0.028333206,0.26642238,-0.002217751,-0.016545299,-0.002154813
0_300_10,0,300,10,3,-0.004816799,-0.026401946,0.228484194,-0.002026916,-0.013795857,-0.001745368
0_540_0,0,540,0,3,0.002470567,0.01601846,0.297276572,-0.001427661,-0.020777652,0.000833933
10_300_10,10,300,10,3,-0.042305811,-0.027654567,0.244748545,-0.002138076,-0.014468745,-0.002021248
0_180_10,0,180,10,3,-0.005213456,-0.021295246,0.138172612,-0.001658218,-0.007019933,-0.001171399
5_240_-5,5,240,-5,3,-0.019022171,0.019909614,0.169265106,-0.00159051,-0.008463175,0.000698641
10_570_5,10,570,5,3,-0.052036339,-0.009662494,0.38097956,-0.002584892,-0.027289899,-0.001609489
10_300_0,10,300,0,3,-0.039027628,0.012439018,0.227572324,-0.002052547,-0.01277269,0.000199395
5_360_10,5,360,10,3,-0.022992771,-0.028064283,0.275543784,-0.002141554,-0.017862279,-0.002113624
10_630_-5,10,630,-5,3,-0.034292706,0.023282668,0.264176456,-0.001852027,-0.018153907,0.001207833
5_180_5,5,180,5,3,-0.01753499,-0.009564495,0.141189587,-0.00156924,-0.006839951,-0.000642289
0_180_-5,0,180,-5,3,-0.00506704,0.012950523,0.131817012,-0.001259622,-0.006316951,0.000594705
0_270_5,0,270,5,3,-0.006323195,-0.008507329,0.207280386,-0.00184131,-0.01166912,-0.000526581
0_570_5,0,570,5,3,0.003675494,-0.007446961,0.354328803,-0.001749916,-0.025860957,-0.001295264
0_330_-5,0,330,-5,3,-0.002416056,0.024254105,0.199857342,-0.001336042,-0.012255424,0.001451554
5_300_10,5,300,10,3,-0.023209026,-0.027555982,0.239943979,-0.002115335,-0.014214917,-0.001875483
