Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_330_-5,10,330,-5,2,-0.015725076,0.012711585,0.11434996,-0.000865502,-0.007475265,0.000611233
0_300_0,0,300,0,2,0.000192365,0.007467122,0.120221174,-0.000641147,-0.008211887,0.000354616
10_300_5,10,300,5,2,-0.020452064,-0.003071304,0.139909561,-0.001033562,-0.009468539,-0.000482935
0_330_10,0,330,10,2,0.001477082,-0.016298612,0.156381065,-0.000946676,-0.011094117,-0.00137041
10_600_0,10,600,0,2,-0.023308259,0.000491431,0.182172556,-0.001132398,-0.013766237,-0.000477301
5_480_0,5,480,0,2,-0.007451229,0.003714998,0.147538296,-0.000694696,-0.010954602,-2.34E-05
5_360_5,5,360,5,2,-0.009902329,-0.002616233,0.157773382,-0.000976487,-0.011262878,-0.000539673
0_300_-5,0,300,-5,2,0.000303434,0.012122221,0.102924171,-0.000472724,-0.006696691,0.000710948
0_480_-5,0,480,-5,2,0.002156071,0.009146736,0.105973458,-0.00020583,-0.00724496,0.000366628
5_420_10,5,420,10,2,-0.01101847,-0.018596112,0.202046373,-0.0010993,-0.015058751,-0.002056037
10_540_0,10,540,0,2,-0.021207988,0.001433207,0.165327292,-0.001043264,-0.012452498,-0.000321655
10_570_0,10,570,0,2,-0.022115738,0.000923341,0.172693935,-0.00108449,-0.013050989,-0.000400934
10_210_5,10,210,5,2,-0.018492213,-0.002655165,0.110217268,-0.000956399,-0.006563892,-0.000374462
10_570_10,10,570,10,2,-0.647807599,-0.735961106,3.525462963,-0.043826048,-0.264707105,-0.068852385
0_420_10,0,420,10,2,0.003491978,-0.019821135,0.188710373,-0.000944994,-0.014267208,-0.001963613
10_540_-5,10,540,-5,2,-0.016043968,0.007926362,0.126732015,-0.000910036,-0.008846742,0.000226294
5_420_0,5,420,0,2,-0.007377363,0.004786083,0.140286773,-0.000714278,-0.010191007,0.000133553
5_540_5,5,540,5,2,-0.010052336,-0.009044274,0.193993158,-0.000818302,-0.015260629,-0.00125021
5_570_0,5,570,0,2,-0.007879016,0.002132207,0.162389192,-0.000713092,-0.012257504,-0.000260483
10_600_5,10,600,5,2,-0.016246128,-0.015453375,0.129308201,-0.001126771,-0.012062597,-0.002114805
10_480_-5,10,480,-5,2,-0.015222108,0.009063667,0.12133325,-0.000864768,-0.008411089,0.000389874
0_270_10,0,270,10,2,-3.33E-05,-0.013425347,0.128994814,-0.000889786,-0.008681089,-0.001037821
5_270_-5,5,270,-5,2,-0.007171413,0.011833806,0.101438913,-0.000706459,-0.006417135,0.000632594
5_540_10,5,540,10,2,-0.012810703,-0.029243069,0.244973042,-0.00112064,-0.019115579,-0.002985283
5_180_0,5,180,0,2,-0.009526238,0.004190294,0.090878484,-0.000817827,-0.004884873,0.000107217
10_630_0,10,630,0,2,-0.024901772,9.87E-05,0.193677811,-0.001196708,-0.014583571,-0.000556091
0_270_0,0,270,0,2,-0.000390027,0.006831413,0.112368994,-0.000656986,-0.007515793,0.000351102
5_660_5,5,660,5,2,-0.00753493,-0.019172558,0.130348556,-0.00109475,-0.013507101,-0.002420394
0_540_-5,0,540,-5,2,0.001660244,0.017139336,0.171352996,-0.000536923,-0.01148273,0.000714617
5_210_10,5,210,10,2,-0.010257725,-0.012457376,0.110706137,-0.000946579,-0.006715563,-0.000873448
10_540_5,10,540,5,2,-0.027127209,-0.011304876,0.209563042,-0.001138276,-0.016295038,-0.001440481
10_330_5,10,330,5,2,-0.021505591,-0.003580668,0.151490369,-0.001077792,-0.010501711,-0.000569125
10_360_10,10,360,10,2,-0.025382387,-0.016230241,0.185080801,-0.001135359,-0.013316471,-0.001770297
5_600_-5,5,600,-5,2,-0.005579808,0.006701883,0.122962806,-0.000564062,-0.008508106,7.27E-05
10_270_0,10,270,0,2,-0.017356097,0.005837786,0.114552233,-0.000944301,-0.007393063,0.000136497
5_180_10,5,180,10,2,-0.010065783,-0.011779873,0.095438706,-0.000900571,-0.005331149,-0.000784468
5_300_5,5,300,5,2,-0.009776009,-0.002362196,0.137264962,-0.000938877,-0.009384787,-0.000366851
5_240_10,5,240,10,2,-0.010180888,-0.012700798,0.122365918,-0.00095157,-0.007912858,-0.000961298
5_630_-5,5,630,-5,2,-0.005841806,0.005919755,0.125686952,-0.000577925,-0.00871693,-4.32E-05
0_540_10,0,540,10,2,0.005955295,-0.027128175,0.228976602,-0.000828471,-0.018154411,-0.002807982
0_420_-5,0,420,-5,2,0.00155679,0.010179164,0.104794379,-0.000262197,-0.007155478,0.000521422
10_180_-5,10,180,-5,2,-0.015426158,0.010540889,0.083816718,-0.000811961,-0.004316957,0.000319841
0_480_0,0,480,0,2,0.003818056,0.005726629,0.13521131,-0.000416318,-0.010072443,0.000179613
10_660_-5,10,660,-5,2,-0.019083462,0.005257277,0.144275205,-0.001076838,-0.010231803,-0.000205308
5_480_-5,5,480,-5,2,-0.005380973,0.008970148,0.114931547,-0.000562078,-0.007914268,0.000414626
0_330_5,0,330,5,2,0.000903645,-0.003029743,0.14319146,-0.000805083,-0.010115458,-0.000451637
10_420_0,10,420,0,2,-0.019745775,0.005186084,0.151715343,-0.000981965,-0.010858724,1.24E-05
0_420_5,0,420,5,2,0.00251389,-0.004956934,0.160740671,-0.000607527,-0.012130448,-0.000679208
10_360_0,10,360,0,2,-0.019068784,0.006337611,0.140410129,-0.001007409,-0.009715661,9.46E-05
5_240_5,5,240,5,2,-0.009874489,-0.002444595,0.116255468,-0.000912145,-0.00746635,-0.000288056
10_270_-5,10,270,-5,2,-0.015091189,0.011913596,0.102499524,-0.000861597,-0.006452472,0.000577497
10_300_-5,10,300,-5,2,-0.015421898,0.012553246,0.109014963,-0.00086487,-0.007012514,0.000608084
