Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_630_5,10,630,5,1,-0.013443001,-0.017812746,0.07840882,-0.000721844,-0.007176896,-0.002228033
10_240_0,10,240,0,1,-0.004951617,0.000416994,0.038698764,-0.000237842,-0.002874036,-6.01E-05
0_330_0,0,330,0,1,0.001472428,0.000361818,0.039496806,-5.41E-05,-0.003041023,-0.000102887
10_180_5,10,180,5,1,-0.005567188,-0.001255491,0.040431371,-0.000270162,-0.002855366,-0.000185266
5_300_-5,5,300,-5,1,-0.001552805,0.001464731,0.031013639,-0.000142077,-0.002152722,-4.12E-06
10_360_5,10,360,5,1,-0.01153969,-0.010111047,0.081324758,-0.000685082,-0.006599397,-0.001143761
0_360_0,0,360,0,1,0.00154054,-3.25E-05,0.041581485,-4.04E-05,-0.003219467,-0.000158508
5_270_5,5,270,5,1,-0.002416738,-0.002498136,0.048521012,-0.000197764,-0.003809726,-0.0003356
10_480_5,10,480,5,1,-0.016827701,-0.015450951,0.102563566,-0.000773938,-0.008308079,-0.001767189
5_360_0,5,360,0,1,-0.001632778,-0.001423749,0.037599299,-0.00021276,-0.003110211,-0.000289589
5_630_10,5,630,10,1,-0.00705621,-0.029849162,0.103849944,-0.000473114,-0.009442348,-0.003221402
10_240_-5,10,240,-5,1,-0.003945757,0.002077646,0.030515705,-0.000209758,-0.002121704,7.65E-05
5_330_5,5,330,5,1,-0.001798531,-0.004956046,0.034540051,-0.000260144,-0.003470041,-0.000615273
10_660_0,10,660,0,1,-0.011137117,-0.008649801,0.062886835,-0.000807854,-0.005493649,-0.00144955
